#	Summary: Metal Binding Proteins above treshold of 0.5

#	Ca	Co	Cu	Fe	K	Mg	Mn	Na	Ni	Zn

#	1268	348	390	820	886	1584	712	921	766	1623

ID	MetalBinding	Ca	Co	Cu	Fe	K	Mg	Mn	Na	Ni	Zn
1LV7_A	0.4	0.17	0.12	0.0	0.0	0.48	0.63	0.09	0.35	0.07	0.36

1LWD_A	0.4	0.58	0.24	0.01	0.04	0.38	0.61	0.41	0.42	0.05	0.45

1M32_B	0.4	0.52	0.31	0.37	0.56	0.38	0.38	0.44	0.55	0.58	0.43

1M36_A	1.0	0.0	0.25	0.19	0.0	0.27	0.0	0.06	0.32	0.26	0.68

1M3V_A	1.0	0.62	0.05	0.08	0.13	0.53	0.12	0.0	0.52	0.17	0.97

1M9O_A	0.95	0.03	0.25	0.28	0.0	0.32	0.04	0.07	0.41	0.26	0.71

1MCP_H	0.35	0.25	0.38	0.12	0.2	0.31	0.44	0.24	0.53	0.58	0.38

1MJ5_A	0.36	0.56	0.33	0.12	0.0	0.32	0.55	0.3	0.51	0.27	0.33

1MM2_A	1.0	0.0	0.01	0.06	0.0	0.34	0.0	0.0	0.49	0.02	1.0

1MM3_A	1.0	0.0	0.02	0.07	0.0	0.34	0.0	0.0	0.48	0.03	1.0

1MWZ_A	0.75	0.19	0.19	0.93	0.12	0.38	0.03	0.06	0.45	0.35	0.57

1MXA_A	0.4	0.33	0.27	0.19	0.0	0.89	0.6	0.06	0.49	0.64	0.46

1N0Z_A	1.0	0.02	0.24	0.25	0.0	0.32	0.01	0.06	0.4	0.24	0.74

1N4W_A	0.55	0.26	0.26	0.29	0.46	0.36	0.29	0.57	0.52	0.35	0.48

1N7S_A	0.14	0.27	0.69	0.08	0.0	0.11	0.1	0.02	0.01	0.35	0.05

1NCS_A	1.0	0.01	0.18	0.24	0.0	0.36	0.01	0.02	0.44	0.18	0.87

1NEE_A	0.76	0.33	0.21	0.34	0.19	0.31	0.23	0.03	0.47	0.4	0.63

1NG3_A	0.56	0.18	0.39	0.3	0.47	0.37	0.46	0.41	0.28	0.41	0.46

1NG9_A	0.4	0.49	0.22	0.06	0.21	0.68	0.64	0.32	0.5	0.13	0.47

1NJ3_A	1.0	0.0	0.17	0.21	0.0	0.33	0.0	0.02	0.42	0.17	0.89

1NKU_A	0.91	0.11	0.11	0.24	0.2	0.21	0.5	0.01	0.46	0.26	0.84

1NMW_A	0.4	0.02	0.3	0.01	0.17	0.45	0.58	0.6	0.32	0.23	0.36

1NPQ_A	0.39	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0

1NQV_A	0.27	0.26	0.35	0.17	0.46	0.32	0.43	0.37	0.29	0.47	0.35

1NYA_A	0.4	0.77	0.22	0.09	0.05	0.03	0.39	0.01	0.37	0.0	0.04

1NYP_A	1.0	0.0	0.08	0.13	0.0	0.22	0.03	0.0	0.48	0.11	0.98

1O6V_B	0.27	0.56	0.36	0.13	0.0	0.34	0.35	0.34	0.5	0.43	0.15

1O9T_B	0.4	0.48	0.22	0.0	0.0	0.93	0.64	0.3	0.45	0.3	0.46

1OES_A	0.39	0.43	0.29	0.16	0.13	0.3	0.56	0.21	0.47	0.22	0.45

1OFR_B	0.42	0.47	0.69	0.0	0.01	0.46	0.75	0.97	0.1	0.03	0.22

1OFR_H	0.42	0.48	0.7	0.0	0.01	0.48	0.75	0.97	0.1	0.03	0.22

1OH5_A	0.4	0.49	0.21	0.06	0.21	0.68	0.64	0.3	0.5	0.12	0.47

1OQ6_A	0.44	0.15	0.73	1.0	0.0	0.66	0.0	0.0	0.31	0.2	0.6

1OS6_A	0.4	0.0	0.61	0.0	1.0	0.85	0.0	0.0	0.0	0.99	0.14

1OVX_A	0.65	0.06	0.3	0.19	0.04	0.26	0.32	0.33	0.13	0.35	0.47

1OZ0_A	0.45	0.41	0.23	0.01	0.0	0.93	0.57	0.93	0.49	0.07	0.4

1OZS_A	0.39	0.95	0.01	0.0	0.0	0.0	0.75	0.0	0.23	0.0	0.0

1P0K_A	0.4	0.69	0.44	0.34	0.33	0.37	0.44	0.45	0.43	0.11	0.34

1P0K_B	0.4	0.69	0.44	0.34	0.33	0.37	0.44	0.45	0.43	0.11	0.34

1P7A_A	1.0	0.0	0.16	0.23	0.0	0.31	0.02	0.02	0.44	0.18	0.88

1PAA_A	1.0	0.01	0.23	0.24	0.0	0.31	0.01	0.05	0.41	0.23	0.78

1PB5_A	0.26	0.97	0.37	0.07	0.0	0.18	0.0	0.04	0.32	0.2	0.07

1PFT_A	1.0	0.01	0.18	0.23	0.0	0.28	0.07	0.02	0.43	0.21	0.84

1PIR_A	0.4	0.86	0.27	0.26	0.02	0.03	0.09	0.01	0.43	0.0	0.12

1PLA_A	0.4	0.45	0.78	1.0	0.0	0.06	0.0	0.0	0.38	0.72	0.58

1PNT_A	0.83	0.71	0.48	0.25	0.15	0.44	0.12	0.05	0.42	0.48	0.53

1POH_A	0.29	0.06	0.22	0.04	0.47	0.19	0.1	0.15	0.25	0.41	0.36

1PPX_A	0.4	0.0	0.64	0.0	0.0	0.3	0.72	0.06	0.22	0.01	0.14

1PRR_A	0.4	0.87	0.28	0.17	0.11	0.08	0.03	0.01	0.41	0.01	0.07

1PXE_A	1.0	0.01	0.17	0.26	0.0	0.34	0.03	0.02	0.43	0.19	0.87

1PYC_A	1.0	0.0	0.2	0.19	0.0	0.29	0.0	0.03	0.38	0.2	0.81

1Q0K_A	0.81	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.15

1Q3R_D	0.41	0.17	0.26	0.03	0.0	0.91	0.71	0.49	0.37	0.13	0.39

1Q3Y_A	1.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.59	0.0	1.0

1QBH_A	1.0	0.02	0.17	0.24	0.0	0.34	0.03	0.02	0.44	0.19	0.88

1QKE_A	0.04	0.02	0.05	0.0	0.0	0.04	0.1	0.02	0.01	0.15	0.01

1QL6_A	0.4	0.15	0.28	0.09	0.01	0.35	0.57	0.55	0.47	0.32	0.46

1QLE_A	0.4	0.4	0.65	1.0	0.83	0.81	0.67	0.25	0.21	0.62	0.45

1QLE_B	0.41	0.29	0.73	1.0	0.23	0.47	0.51	0.0	0.3	0.21	0.57

1QMP_A	0.2	0.27	0.25	0.07	0.09	0.31	0.51	0.15	0.11	0.34	0.13

1QMP_B	0.2	0.28	0.25	0.07	0.09	0.31	0.51	0.16	0.11	0.34	0.13

1QMP_D	0.2	0.28	0.25	0.07	0.1	0.31	0.51	0.16	0.11	0.34	0.13

1QYP_A	1.0	0.01	0.17	0.23	0.0	0.3	0.11	0.02	0.43	0.2	0.86

1R2R_C	0.35	0.07	0.43	0.44	0.03	0.49	0.58	0.35	0.52	0.56	0.16

1R2U_A	0.38	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0

1R79_A	0.9	0.0	0.15	0.28	0.0	0.24	0.01	0.02	0.47	0.23	0.84

1R9P_A	0.77	0.2	0.21	0.33	0.02	0.55	0.15	0.04	0.48	0.24	0.7

1RFH_A	1.0	0.0	0.06	0.12	0.0	0.33	0.01	0.0	0.45	0.08	0.99

1RGO_A	0.97	0.03	0.14	0.23	0.0	0.28	0.39	0.02	0.44	0.23	0.85

1RJV_A	0.39	0.98	0.02	0.01	0.0	0.0	0.01	0.0	0.31	0.0	0.0

1RN1_A	0.4	0.59	0.11	0.01	0.0	0.22	0.62	0.38	0.39	0.03	0.4

1RN1_C	0.4	0.59	0.11	0.01	0.0	0.23	0.62	0.38	0.39	0.03	0.39

1RXR_A	1.0	0.0	0.01	0.05	0.0	0.28	0.06	0.0	0.51	0.06	1.0

1RYW_D	0.35	0.31	0.34	0.37	0.01	0.49	0.57	0.24	0.5	0.31	0.38

1RZL_A	0.29	0.04	0.28	0.0	0.0	0.15	0.05	0.1	0.54	0.27	0.08

1S6I_A	0.39	1.0	0.01	0.03	0.47	0.0	0.0	0.0	0.32	0.0	0.0

1S6J_A	0.4	0.91	0.18	0.3	0.72	0.04	0.04	0.02	0.39	0.0	0.08

1S72_A	0.4	0.33	0.13	0.0	0.0	0.05	0.82	0.01	0.53	0.0	0.1

1SF2_C	0.4	0.66	0.44	0.05	0.03	0.42	0.56	0.32	0.51	0.11	0.32

1SGL_A	0.34	0.21	0.32	0.1	0.58	0.35	0.56	0.35	0.36	0.37	0.25

1SJ9_F	0.38	0.01	0.0	0.06	0.0	1.0	0.0	0.0	0.78	0.0	0.08

1SK8_A	0.28	0.38	0.43	0.22	0.02	0.31	0.4	0.27	0.49	0.4	0.28

1SMG_A	0.39	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0

1SP2_A	1.0	0.0	0.06	0.13	0.0	0.33	0.0	0.0	0.44	0.08	0.99

1SRK_A	0.98	0.02	0.27	0.28	0.0	0.35	0.05	0.07	0.42	0.25	0.74

1SRN_A	0.29	0.11	0.25	0.34	0.09	0.25	0.2	0.24	0.34	0.41	0.4

1SW8_A	0.34	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0

1T3K_A	0.95	0.19	0.17	0.28	0.0	0.3	0.32	0.03	0.44	0.31	0.68

1T6W_A	0.32	0.63	0.41	0.15	0.13	0.31	0.37	0.22	0.41	0.19	0.19

1T8Z_C	0.05	0.05	0.04	0.0	0.0	0.04	0.01	0.0	0.0	0.21	0.01

1TBN_A	1.0	0.0	0.07	0.14	0.0	0.32	0.01	0.0	0.46	0.09	0.99

1TF3_A	1.0	0.0	0.07	0.14	0.0	0.34	0.0	0.0	0.46	0.09	0.98

1TFI_A	1.0	0.01	0.04	0.11	0.0	0.29	0.05	0.0	0.46	0.08	0.99

1TKW_A	0.44	0.0	1.0	1.0	0.0	0.82	0.0	0.0	0.57	0.75	0.56

1TNQ_A	0.38	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0

1TOT_A	1.0	0.0	0.17	0.21	0.0	0.32	0.0	0.02	0.43	0.17	0.89

1TTX_A	0.4	0.9	0.25	0.13	0.03	0.03	0.04	0.01	0.39	0.0	0.08

1TZY_B	0.36	0.0	0.47	0.0	0.31	0.06	0.0	0.7	0.31	0.18	0.27

1U2N_A	1.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.58	0.0	1.0

1U6P_A	1.0	0.0	0.0	0.02	0.0	0.34	0.0	0.0	0.5	0.01	1.0

1U7J_A	1.0	0.0	0.57	0.13	0.0	0.62	0.01	0.15	0.49	0.11	0.96

1U7M_A	1.0	0.0	0.48	0.13	0.0	0.56	0.01	0.09	0.49	0.14	0.96

1U85_A	1.0	0.0	0.2	0.25	0.0	0.29	0.01	0.03	0.43	0.22	0.81

1U86_A	1.0	0.01	0.19	0.25	0.0	0.3	0.01	0.03	0.43	0.21	0.83

1UF9_B	0.39	0.55	0.3	0.07	0.0	0.27	0.58	0.39	0.4	0.14	0.41

