pdbid,labels,lmetal_pred
1bt7_A,9,0.7004
1btc_A,0,0.0
1btc_A,1,0.0
1btc_A,2,0.0
1btc_A,3,0.0
1btc_A,4,0.0
1btc_A,5,0.0
1btc_A,6,0.0
1btc_A,7,0.0
1btc_A,8,0.0
1btc_A,9,0.0
1bxn_A,0,0.4565
1bxn_A,1,0.0
1bxn_A,2,0.0
1bxn_A,3,0.0
1bxn_A,4,0.0
1bxn_A,5,0.6178
1bxn_A,6,0.683
1bxn_A,7,0.0
1bxn_A,8,0.0
1bxn_A,9,0.0
1byn_A,0,0.9867
1byn_A,1,0.0
1byn_A,2,0.0
1byn_A,3,0.0
1byn_A,4,0.0
1byn_A,5,0.7532
1byn_A,6,0.9143
1byn_A,7,0.0
1byn_A,8,0.0
1byn_A,9,0.5535
1c07_A,0,0.9899
1c07_A,1,0.0
1c07_A,2,0.0
1c07_A,3,0.0
1c07_A,4,0.0
1c07_A,5,0.7166
1c07_A,6,0.8965
1c07_A,7,0.0
1c07_A,8,0.0
1c07_A,9,0.4711
1c9q_A,0,0.0
1c9q_A,1,0.0
1c9q_A,2,0.0
1c9q_A,3,0.0
1c9q_A,4,0.0
1c9q_A,5,0.0
1c9q_A,6,0.631
1c9q_A,7,0.0
1c9q_A,8,0.0
1c9q_A,9,0.9976
1cee_A,0,0.5238
1cee_A,1,0.0
1cee_A,2,0.0
1cee_A,3,0.0
1cee_A,4,0.0
1cee_A,5,0.8601
1cee_A,6,0.8898
1cee_A,7,0.0
1cee_A,8,0.0
1cee_A,9,0.5088
1cf4_A,0,0.5219
1cf4_A,1,0.0
1cf4_A,2,0.0
1cf4_A,3,0.0
1cf4_A,4,0.0
1cf4_A,5,0.8661
1cf4_A,6,0.8917
1cf4_A,7,0.0
1cf4_A,8,0.0
1cf4_A,9,0.509
1cff_A,0,0.9808
1cff_A,1,0.0
1cff_A,2,0.0
1cff_A,3,0.0
1cff_A,4,0.0
1cff_A,5,0.661
1cff_A,6,0.8124
1cff_A,7,0.0
1cff_A,8,0.0
1cff_A,9,0.0
1chc_A,0,0.0
1chc_A,1,0.0
1chc_A,2,0.0
1chc_A,3,0.0
1chc_A,4,0.0
1chc_A,5,0.0
1chc_A,6,0.5537
1chc_A,7,0.0
1chc_A,8,0.0
1chc_A,9,0.9985
1cl4_A,0,0.0
1cl4_A,1,0.0
1cl4_A,2,0.0
1cl4_A,3,0.0
1cl4_A,4,0.0
1cl4_A,5,0.0
1cl4_A,6,0.4748
1cl4_A,7,0.0
1cl4_A,8,0.0
1cl4_A,9,0.9971
1cli_A,0,0.4105
1cli_A,1,0.0
1cli_A,2,0.0
1cli_A,3,0.0
1cli_A,4,0.0
1cli_A,5,0.5581
1cli_A,6,0.7211
1cli_A,7,0.0
1cli_A,8,0.0
1cli_A,9,0.4836
1co4_A,0,0.0
1co4_A,1,0.0
1co4_A,2,0.0
1co4_A,3,0.0
1co4_A,4,0.0
1co4_A,5,0.0
1co4_A,6,0.5274
1co4_A,7,0.0
1co4_A,8,0.0
1co4_A,9,0.9979
1cr8_A,0,0.993
1cr8_A,1,0.0
1cr8_A,2,0.0
1cr8_A,3,0.0
1cr8_A,4,0.0
1cr8_A,5,0.7724
1cr8_A,6,0.9302
1cr8_A,7,0.0
1cr8_A,8,0.0
1cr8_A,9,0.4274
1cta_A,0,0.9849
1cta_A,1,0.0
1cta_A,2,0.0
1cta_A,3,0.0
1cta_A,4,0.0
1cta_A,5,0.7038
1cta_A,6,0.835
1cta_A,7,0.0
1cta_A,8,0.0
1cta_A,9,0.4617
1cur_A,0,0.0
1cur_A,1,0.0
1cur_A,2,0.0
1cur_A,3,0.0
1cur_A,4,0.0
1cur_A,5,0.0
1cur_A,6,0.6344
1cur_A,7,0.0
1cur_A,8,0.0
1cur_A,9,0.6303
1cws_A,0,0.3903
1cws_A,1,0.0
1cws_A,2,0.0
1cws_A,3,0.0
1cws_A,4,0.0
1cws_A,5,0.0
1cws_A,6,0.0
1cws_A,7,0.0
1cws_A,8,0.0
1cws_A,9,0.0
1cxx_A,0,0.0
1cxx_A,1,0.0
1cxx_A,2,0.0
1cxx_A,3,0.0
1cxx_A,4,0.0
1cxx_A,5,0.0
1cxx_A,6,0.0
1cxx_A,7,0.0
1cxx_A,8,0.0
1cxx_A,9,0.998
1czj_A,0,0.0
1czj_A,1,0.0
1czj_A,2,0.0
1czj_A,3,0.0
1czj_A,4,0.0
1czj_A,5,0.0
1czj_A,6,0.0
1czj_A,7,0.0
1czj_A,8,0.0
1czj_A,9,0.0
1d2j_A,0,0.9918
1d2j_A,1,0.0
1d2j_A,2,0.0
1d2j_A,3,0.0
1d2j_A,4,0.0
1d2j_A,5,0.7796
1d2j_A,6,0.916
1d2j_A,7,0.0
1d2j_A,8,0.0
1d2j_A,9,0.4556
1d2l_A,0,0.9932
1d2l_A,1,0.0
1d2l_A,2,0.0
1d2l_A,3,0.0
1d2l_A,4,0.0
1d2l_A,5,0.7404
1d2l_A,6,0.9177
1d2l_A,7,0.0
1d2l_A,8,0.0
1d2l_A,9,0.4685
1daq_A,0,0.9908
1daq_A,1,0.0
1daq_A,2,0.0
1daq_A,3,0.0
1daq_A,4,0.0
1daq_A,5,0.717
1daq_A,6,0.8946
1daq_A,7,0.0
1daq_A,8,0.0
1daq_A,9,0.0
1def_A,0,0.0
1def_A,1,0.0
1def_A,2,0.0
1def_A,3,0.0
1def_A,4,0.0
1def_A,5,0.0
1def_A,6,0.8187
1def_A,7,0.0
1def_A,8,0.0
1def_A,9,0.987
1dfe_A,0,0.0
1dfe_A,1,0.0
1dfe_A,2,0.0
1dfe_A,3,0.0
1dfe_A,4,0.0
1dfe_A,5,0.0
1dfe_A,6,0.0
1dfe_A,7,0.0
1dfe_A,8,0.0
1dfe_A,9,0.9956
1dgw_Y,0,0.0
1dgw_Y,1,0.0
1dgw_Y,2,0.0
1dgw_Y,3,0.0
1dgw_Y,4,0.0
1dgw_Y,5,0.0
1dgw_Y,6,0.0
1dgw_Y,7,0.0
1dgw_Y,8,0.0
1dgw_Y,9,0.0
1dl6_A,0,0.0
1dl6_A,1,0.0
1dl6_A,2,0.0
1dl6_A,3,0.0
1dl6_A,4,0.0
1dl6_A,5,0.0
1dl6_A,6,0.0
1dl6_A,7,0.0
1dl6_A,8,0.0
1dl6_A,9,0.9981
1dsv_A,0,0.0
1dsv_A,1,0.0
1dsv_A,2,0.0
1dsv_A,3,0.0
1dsv_A,4,0.0
1dsv_A,5,0.0
1dsv_A,6,0.6211
1dsv_A,7,0.0
1dsv_A,8,0.0
1dsv_A,9,0.9971
1dsw_A,0,0.0
1dsw_A,1,0.0
1dsw_A,2,0.0
1dsw_A,3,0.0
1dsw_A,4,0.0
1dsw_A,5,0.0
1dsw_A,6,0.7468
1dsw_A,7,0.0
1dsw_A,8,0.0
1dsw_A,9,0.8306
1dt0_B,0,0.0
1dt0_B,1,0.0
1dt0_B,2,0.0
1dt0_B,3,0.0
1dt0_B,4,0.0
1dt0_B,5,0.0
1dt0_B,6,0.9485
1dt0_B,7,0.0
1dt0_B,8,0.0
1dt0_B,9,0.9839
1dt7_A,0,0.9889
1dt7_A,1,0.0
1dt7_A,2,0.0
1dt7_A,3,0.0
1dt7_A,4,0.0
1dt7_A,5,0.7085
1dt7_A,6,0.876
1dt7_A,7,0.0
1dt7_A,8,0.0
1dt7_A,9,0.4244
1dx8_A,0,0.0
1dx8_A,1,0.0
1dx8_A,2,0.0
1dx8_A,3,0.0
1dx8_A,4,0.0
1dx8_A,5,0.0
1dx8_A,6,0.0
1dx8_A,7,0.0
1dx8_A,8,0.0
1dx8_A,9,0.998
1dzi_A,0,0.8601
1dzi_A,1,0.0
1dzi_A,2,0.0
1dzi_A,3,0.0
1dzi_A,4,0.0
1dzi_A,5,0.9347
1dzi_A,6,0.9617
1dzi_A,7,0.0
1dzi_A,8,0.0
1dzi_A,9,0.8306
1e08_D,0,0.0
1e08_D,1,0.0
1e08_D,2,0.0
1e08_D,3,0.0
1e08_D,4,0.0
1e08_D,5,0.0
1e08_D,6,0.0
1e08_D,7,0.0
1e08_D,8,0.0
1e08_D,9,0.0
1e0e_A,0,0.0
1e0e_A,1,0.0
1e0e_A,2,0.0
1e0e_A,3,0.0
1e0e_A,4,0.0
1e0e_A,5,0.0
1e0e_A,6,0.5591
1e0e_A,7,0.0
1e0e_A,8,0.0
1e0e_A,9,0.9964
1e1t_A,0,0.7167
1e1t_A,1,0.0
1e1t_A,2,0.0
1e1t_A,3,0.0
1e1t_A,4,0.0
1e1t_A,5,0.8524
1e1t_A,6,0.9367
1e1t_A,7,0.0
1e1t_A,8,0.0
1e1t_A,9,0.7655
1e29_A,0,0.0
1e29_A,1,0.0
1e29_A,2,0.0
1e29_A,3,0.0
1e29_A,4,0.0
1e29_A,5,0.0
1e29_A,6,0.0
1e29_A,7,0.0
1e29_A,8,0.0
1e29_A,9,0.0
1e46_P,0,0.0
1e46_P,1,0.0
1e46_P,2,0.0
1e46_P,3,0.0
1e46_P,4,0.0
1e46_P,5,0.5338
1e46_P,6,0.9714
1e46_P,7,0.0
1e46_P,8,0.0
1e46_P,9,0.9897
1e47_P,0,0.0
1e47_P,1,0.0
1e47_P,2,0.0
1e47_P,3,0.0
1e47_P,4,0.0
1e47_P,5,0.5375
1e47_P,6,0.9714
1e47_P,7,0.0
1e47_P,8,0.0
1e47_P,9,0.9897
1e48_P,0,0.0
1e48_P,1,0.0
1e48_P,2,0.0
1e48_P,3,0.0
1e48_P,4,0.0
1e48_P,5,0.5377
1e48_P,6,0.9717
1e48_P,7,0.0
1e48_P,8,0.0
1e48_P,9,0.9898
1e49_P,0,0.0
1e49_P,1,0.0
1e49_P,2,0.0
1e49_P,3,0.0
1e49_P,4,0.0
1e49_P,5,0.5698
1e49_P,6,0.9728
1e49_P,7,0.0
1e49_P,8,0.0
1e49_P,9,0.9886
1e4a_P,0,0.0
1e4a_P,1,0.0
1e4a_P,2,0.0
1e4a_P,3,0.0
1e4a_P,4,0.0
1e4a_P,5,0.552
1e4a_P,6,0.9726
1e4a_P,7,0.0
1e4a_P,8,0.0
1e4a_P,9,0.9893
1e4b_P,0,0.0
1e4b_P,1,0.0
1e4b_P,2,0.0
1e4b_P,3,0.0
1e4b_P,4,0.0
1e4b_P,5,0.5591
1e4b_P,6,0.9727
1e4b_P,7,0.0
1e4b_P,8,0.0
1e4b_P,9,0.9893
1e4c_P,0,0.0
1e4c_P,1,0.0
1e4c_P,2,0.0
1e4c_P,3,0.0
1e4c_P,4,0.0
1e4c_P,5,0.556
1e4c_P,6,0.9725
1e4c_P,7,0.0
1e4c_P,8,0.0
1e4c_P,9,0.989
1e4u_A,0,0.0
1e4u_A,1,0.0
1e4u_A,2,0.0
1e4u_A,3,0.0
1e4u_A,4,0.0
1e4u_A,5,0.0
1e4u_A,6,0.0
1e4u_A,7,0.0
1e4u_A,8,0.0
1e4u_A,9,0.9984
1e6c_A,0,0.3497
1e6c_A,1,0.0
1e6c_A,2,0.0
1e6c_A,3,0.0
1e6c_A,4,0.0
1e6c_A,5,0.0
1e6c_A,6,0.0
1e6c_A,7,0.0
1e6c_A,8,0.0
1e6c_A,9,0.0
1ef4_A,0,0.0
1ef4_A,1,0.0
1ef4_A,2,0.0
1ef4_A,3,0.0
1ef4_A,4,0.0
1ef4_A,5,0.0
1ef4_A,6,0.0
1ef4_A,7,0.0
1ef4_A,8,0.0
1ef4_A,9,0.9795
1eh2_A,0,0.9888
1eh2_A,1,0.0
1eh2_A,2,0.0
1eh2_A,3,0.0
1eh2_A,4,0.0
1eh2_A,5,0.7212
1eh2_A,6,0.8899
1eh2_A,7,0.0
1eh2_A,8,0.0
1eh2_A,9,0.0
1emn_A,0,0.9907
1emn_A,1,0.0
1emn_A,2,0.0
1emn_A,3,0.0
1emn_A,4,0.0
1emn_A,5,0.5358
1emn_A,6,0.8261
1emn_A,7,0.0
1emn_A,8,0.0
1emn_A,9,0.0
1eub_A,0,0.7974
1eub_A,1,0.0
1eub_A,2,0.0
1eub_A,3,0.0
1eub_A,4,0.0
1eub_A,5,0.0
1eub_A,6,0.7639
1eub_A,7,0.0
1eub_A,8,0.0
1eub_A,9,0.9968
1exk_A,0,0.0
1exk_A,1,0.0
1exk_A,2,0.0
1exk_A,3,0.0
1exk_A,4,0.0
1exk_A,5,0.0
1exk_A,6,0.0
1exk_A,7,0.0
1exk_A,8,0.0
1exk_A,9,0.9982
1eyx_A,0,0.0
1eyx_A,1,0.0
1eyx_A,2,0.0
1eyx_A,3,0.0
1eyx_A,4,0.0
1eyx_A,5,0.0
1eyx_A,6,0.0
1eyx_A,7,0.0
1eyx_A,8,0.0
1eyx_A,9,0.4957
1eyx_B,0,0.0
1eyx_B,1,0.0
1eyx_B,2,0.0
1eyx_B,3,0.0
1eyx_B,4,0.0
1eyx_B,5,0.0
1eyx_B,6,0.0
1eyx_B,7,0.0
1eyx_B,8,0.0
1eyx_B,9,0.0
1f4s_P,0,0.0
1f4s_P,1,0.0
1f4s_P,2,0.0
1f4s_P,3,0.0
1f4s_P,4,0.0
1f4s_P,5,0.0
1f4s_P,6,0.0
1f4s_P,7,0.0
1f4s_P,8,0.0
1f4s_P,9,0.9977
1f4v_A,0,0.98
1f4v_A,1,0.0
1f4v_A,2,0.0
1f4v_A,3,0.0
1f4v_A,4,0.0
1f4v_A,5,0.9551
1f4v_A,6,0.9751
1f4v_A,7,0.0
1f4v_A,8,0.0
1f4v_A,9,0.6859
1f5y_A,0,0.992
1f5y_A,1,0.0
1f5y_A,2,0.0
1f5y_A,3,0.0
1f5y_A,4,0.0
1f5y_A,5,0.7925
1f5y_A,6,0.9338
1f5y_A,7,0.0
1f5y_A,8,0.0
1f5y_A,9,0.0
1f62_A,0,0.7791
1f62_A,1,0.0
1f62_A,2,0.0
1f62_A,3,0.0
1f62_A,4,0.0
1f62_A,5,0.6744
1f62_A,6,0.7445
1f62_A,7,0.0
1f62_A,8,0.0
1f62_A,9,0.9983
1f8z_A,0,0.9919
1f8z_A,1,0.0
1f8z_A,2,0.0
1f8z_A,3,0.0
1f8z_A,4,0.0
1f8z_A,5,0.7735
1f8z_A,6,0.9143
1f8z_A,7,0.0
1f8z_A,8,0.0
1f8z_A,9,0.4536
1f9x_A,0,0.0
1f9x_A,1,0.0
1f9x_A,2,0.0
1f9x_A,3,0.0
1f9x_A,4,0.0
1f9x_A,5,0.0
1f9x_A,6,0.6751
1f9x_A,7,0.0
1f9x_A,8,0.0
1f9x_A,9,0.9977
1fa4_A,0,0.0
1fa4_A,1,0.0
1fa4_A,2,0.0
1fa4_A,3,0.0
1fa4_A,4,0.0
1fa4_A,5,0.0
1fa4_A,6,0.7342
1fa4_A,7,0.0
1fa4_A,8,0.0
1fa4_A,9,0.872
1fc2_C,0,0.0
1fc2_C,1,0.0
1fc2_C,2,0.0
1fc2_C,3,0.0
1fc2_C,4,0.0
1fc2_C,5,0.0
1fc2_C,6,0.0
1fc2_C,7,0.0
1fc2_C,8,0.0
1fc2_C,9,0.5529
1fi6_A,0,0.9861
1fi6_A,1,0.0
1fi6_A,2,0.0
1fi6_A,3,0.0
1fi6_A,4,0.0
1fi6_A,5,0.712
1fi6_A,6,0.8933
1fi6_A,7,0.0
1fi6_A,8,0.0
1fi6_A,9,0.0
1fp0_A,0,0.0
1fp0_A,1,0.0
1fp0_A,2,0.0
1fp0_A,3,0.0
1fp0_A,4,0.0
1fp0_A,5,0.0
1fp0_A,6,0.0
1fp0_A,7,0.0
1fp0_A,8,0.0
1fp0_A,9,0.9987
1fpp_A,0,0.0
1fpp_A,1,0.0
1fpp_A,2,0.0
1fpp_A,3,0.0
1fpp_A,4,0.0
1fpp_A,5,0.0
1fpp_A,6,0.0
1fpp_A,7,0.0
1fpp_A,8,0.0
1fpp_A,9,0.0
1fpw_A,0,0.9847
1fpw_A,1,0.0
1fpw_A,2,0.0
1fpw_A,3,0.0
1fpw_A,4,0.0
1fpw_A,5,0.6938
1fpw_A,6,0.8367
1fpw_A,7,0.0
1fpw_A,8,0.0
1fpw_A,9,0.0
1fre_A,0,0.0
1fre_A,1,0.0
1fre_A,2,0.0
1fre_A,3,0.0
1fre_A,4,0.0
1fre_A,5,0.0
1fre_A,6,0.0
1fre_A,7,0.0
1fre_A,8,0.0
1fre_A,9,0.9977
1fu9_A,0,0.0
1fu9_A,1,0.0
1fu9_A,2,0.0
1fu9_A,3,0.0
1fu9_A,4,0.0
1fu9_A,5,0.0
1fu9_A,6,0.0
1fu9_A,7,0.0
1fu9_A,8,0.0
1fu9_A,9,0.9979
1fv5_A,0,0.0
1fv5_A,1,0.0
1fv5_A,2,0.0
1fv5_A,3,0.0
1fv5_A,4,0.0
1fv5_A,5,0.0
1fv5_A,6,0.4949
1fv5_A,7,0.0
1fv5_A,8,0.0
1fv5_A,9,0.9982
1fvs_A,0,0.4122
1fvs_A,1,0.0
1fvs_A,2,0.0
1fvs_A,3,0.0
1fvs_A,4,0.0
1fvs_A,5,0.0
1fvs_A,6,0.4949
1fvs_A,7,0.0
1fvs_A,8,0.0
1fvs_A,9,0.9965
1fwm_A,0,0.0
1fwm_A,1,0.0
1fwm_A,2,0.0
1fwm_A,3,0.0
1fwm_A,4,0.0
1fwm_A,5,0.0
1fwm_A,6,0.6333
1fwm_A,7,0.0
1fwm_A,8,0.0
1fwm_A,9,0.467
1fwq_A,0,0.0
1fwq_A,1,0.0
1fwq_A,2,0.0
1fwq_A,3,0.0
1fwq_A,4,0.0
1fwq_A,5,0.0
1fwq_A,6,0.0
1fwq_A,7,0.0
1fwq_A,8,0.0
1fwq_A,9,0.998
1fzh_C,0,0.0
1fzh_C,1,0.0
1fzh_C,2,0.0
1fzh_C,3,0.0
1fzh_C,4,0.0
1fzh_C,5,0.0
1fzh_C,6,0.0
1fzh_C,7,0.0
1fzh_C,8,0.0
1fzh_C,9,0.0
1g25_A,0,0.0
1g25_A,1,0.0
1g25_A,2,0.0
1g25_A,3,0.0
1g25_A,4,0.0
1g25_A,5,0.0
1g25_A,6,0.0
1g25_A,7,0.0
1g25_A,8,0.0
1g25_A,9,0.9984
1g47_A,0,0.0
1g47_A,1,0.0
1g47_A,2,0.0
1g47_A,3,0.0
1g47_A,4,0.0
1g47_A,5,0.0
1g47_A,6,0.0
1g47_A,7,0.0
1g47_A,8,0.0
1g47_A,9,0.9981
1g8t_A,0,0.5991
1g8t_A,1,0.0
1g8t_A,2,0.0
1g8t_A,3,0.0
1g8t_A,4,0.0
1g8t_A,5,0.0
1g8t_A,6,0.5836
1g8t_A,7,0.0
1g8t_A,8,0.0
1g8t_A,9,0.4214
1gdc_A,0,0.0
1gdc_A,1,0.0
1gdc_A,2,0.0
1gdc_A,3,0.0
1gdc_A,4,0.0
1gdc_A,5,0.0
1gdc_A,6,0.0
1gdc_A,7,0.0
1gdc_A,8,0.0
1gdc_A,9,0.9984
1glf_Y,0,0.4255
1glf_Y,1,0.0
1glf_Y,2,0.0
1glf_Y,3,0.0
1glf_Y,4,0.0
1glf_Y,5,0.6165
1glf_Y,6,0.8124
1glf_Y,7,0.0
1glf_Y,8,0.0
1glf_Y,9,0.678
1gnf_A,0,0.0
1gnf_A,1,0.0
1gnf_A,2,0.0
1gnf_A,3,0.0
1gnf_A,4,0.0
1gnf_A,5,0.0
1gnf_A,6,0.0
1gnf_A,7,0.0
1gnf_A,8,0.0
1gnf_A,9,0.9985
1gnx_A,0,0.0
1gnx_A,1,0.0
1gnx_A,2,0.0
1gnx_A,3,0.0
1gnx_A,4,0.0
1gnx_A,5,0.0
1gnx_A,6,0.0
1gnx_A,7,0.0
1gnx_A,8,0.0
1gnx_A,9,0.4208
1gnx_B,0,0.0
1gnx_B,1,0.0
1gnx_B,2,0.0
1gnx_B,3,0.0
1gnx_B,4,0.0
1gnx_B,5,0.0
1gnx_B,6,0.0
1gnx_B,7,0.0
1gnx_B,8,0.0
1gnx_B,9,0.0
1gon_B,0,0.0
1gon_B,1,0.0
1gon_B,2,0.0
1gon_B,3,0.0
1gon_B,4,0.0
1gon_B,5,0.0
1gon_B,6,0.0
1gon_B,7,0.0
1gon_B,8,0.0
1gon_B,9,0.434
1goy_A,0,0.4504
1goy_A,1,0.0
1goy_A,2,0.0
1goy_A,3,0.0
1goy_A,4,0.0
1goy_A,5,0.0
1goy_A,6,0.8469
1goy_A,7,0.0
1goy_A,8,0.0
1goy_A,9,0.6007
1gpw_A,0,0.0
1gpw_A,1,0.0
1gpw_A,2,0.0
1gpw_A,3,0.0
1gpw_A,4,0.0
1gpw_A,5,0.0
1gpw_A,6,0.0
1gpw_A,7,0.0
1gpw_A,8,0.0
1gpw_A,9,0.0
1gpw_E,0,0.0
1gpw_E,1,0.0
1gpw_E,2,0.0
1gpw_E,3,0.0
1gpw_E,4,0.0
1gpw_E,5,0.0
1gpw_E,6,0.0
1gpw_E,7,0.0
1gpw_E,8,0.0
1gpw_E,9,0.0
1grf_A,0,0.0
1grf_A,1,0.0
1grf_A,2,0.0
1grf_A,3,0.0
1grf_A,4,0.0
1grf_A,5,0.0
1grf_A,6,0.7506
1grf_A,7,0.0
1grf_A,8,0.0
1grf_A,9,0.7313
1gzh_D,0,0.0
1gzh_D,1,0.0
1gzh_D,2,0.0
1gzh_D,3,0.0
1gzh_D,4,0.0
1gzh_D,5,0.0
1gzh_D,6,0.0
1gzh_D,7,0.0
1gzh_D,8,0.0
1gzh_D,9,0.0
1h1a_B,0,0.0
1h1a_B,1,0.0
1h1a_B,2,0.0
1h1a_B,3,0.0
1h1a_B,4,0.0
1h1a_B,5,0.0
1h1a_B,6,0.6173
1h1a_B,7,0.0
1h1a_B,8,0.0
1h1a_B,9,0.0
1h3i_B,0,0.0
1h3i_B,1,0.0
1h3i_B,2,0.0
1h3i_B,3,0.0
1h3i_B,4,0.0
1h3i_B,5,0.0
1h3i_B,6,0.0
1h3i_B,7,0.0
1h3i_B,8,0.0
1h3i_B,9,0.0
1h4b_A,0,0.991
1h4b_A,1,0.0
1h4b_A,2,0.0
1h4b_A,3,0.0
1h4b_A,4,0.0
1h4b_A,5,0.775
