pdbid,labels,predictions
1emn_A,2,0.0
1emn_A,3,0.0
1emn_A,4,0.0
1emn_A,5,0.0
1emn_A,6,0.0
1emn_A,7,0.0
1emn_A,8,0.0
1emn_A,9,0.502
1aw2_A,0,0.0
1aw2_A,1,0.0
1aw2_A,2,0.0
1aw2_A,3,0.0
1aw2_A,4,0.0
1aw2_A,5,0.822
1aw2_A,6,0.516
1aw2_A,7,0.961
1aw2_A,8,0.864
1aw2_A,9,0.959
1fa4_A,0,0.0
1fa4_A,1,0.0
1fa4_A,2,0.997
1fa4_A,3,0.0
1fa4_A,4,0.0
1fa4_A,5,0.0
1fa4_A,6,0.0
1fa4_A,7,0.0
1fa4_A,8,0.0
1fa4_A,9,0.0
1ayk_A,0,0.999
1ayk_A,1,0.0
1ayk_A,2,0.0
1ayk_A,3,0.0
1ayk_A,4,0.0
1ayk_A,5,0.0
1ayk_A,6,0.0
1ayk_A,7,0.0
1ayk_A,8,0.0
1ayk_A,9,1.0
1ayk_A,0,0.999
1ayk_A,1,0.0
1ayk_A,2,0.0
1ayk_A,3,0.0
1ayk_A,4,0.0
1ayk_A,5,0.0
1ayk_A,6,0.0
1ayk_A,7,0.0
1ayk_A,8,0.0
1ayk_A,9,1.0
1fc2_C,0,0.0
1fc2_C,1,0.0
1fc2_C,2,0.0
1fc2_C,3,0.0
1fc2_C,4,0.0
1fc2_C,5,0.0
1fc2_C,6,0.0
1fc2_C,7,0.0
1fc2_C,8,0.0
1fc2_C,9,0.813
1b17_B,0,0.0
1b17_B,1,0.0
1b17_B,2,0.0
1b17_B,3,0.0
1b17_B,4,0.0
1b17_B,5,0.0
1b17_B,6,0.0
1b17_B,7,0.0
1b17_B,8,0.0
1b17_B,9,0.661
1fi6_A,0,0.999
1fi6_A,1,0.0
1fi6_A,2,0.0
1fi6_A,3,0.0
1fi6_A,4,0.0
1fi6_A,5,0.0
1fi6_A,6,0.0
1fi6_A,7,0.0
1fi6_A,8,0.0
1fi6_A,9,0.0
1b1g_A,0,0.999
1b1g_A,1,0.0
1b1g_A,2,0.0
1b1g_A,3,0.0
1b1g_A,4,0.0
1b1g_A,5,0.0
1b1g_A,6,0.0
1b1g_A,7,0.0
1b1g_A,8,0.0
1b1g_A,9,0.516
1fp0_A,0,0.0
1fp0_A,1,0.0
1fp0_A,2,0.0
1fp0_A,3,0.0
1fp0_A,4,0.0
1fp0_A,5,0.0
1fp0_A,6,0.0
1fp0_A,7,0.0
1fp0_A,8,0.0
1fp0_A,9,1.0
1b4s_A,0,0.9
1b4s_A,1,0.0
1b4s_A,2,0.0
1b4s_A,3,0.0
1b4s_A,4,0.0
1b4s_A,5,0.898
1b4s_A,6,0.762
1b4s_A,7,0.684
1b4s_A,8,0.601
1b4s_A,9,0.0
1fpp_A,0,0.79
1fpp_A,1,0.0
1fpp_A,2,0.0
1fpp_A,3,0.0
1fpp_A,4,0.612
1fpp_A,5,0.0
1fpp_A,6,0.0
1fpp_A,7,0.0
1fpp_A,8,0.0
1fpp_A,9,0.77
1b62_A,0,0.674
1b62_A,1,0.0
1b62_A,2,0.0
1b62_A,3,0.0
1b62_A,4,0.0
1b62_A,5,0.943
1b62_A,6,0.0
1b62_A,7,0.0
1b62_A,8,0.0
1b62_A,9,0.0
1fpw_A,0,0.999
1fpw_A,1,0.0
1fpw_A,2,0.0
1fpw_A,3,0.0
1fpw_A,4,0.0
1fpw_A,5,0.0
1fpw_A,6,0.0
1fpw_A,7,0.0
1fpw_A,8,0.0
1fpw_A,9,0.0
1b8t_A,0,0.0
1b8t_A,1,0.0
1b8t_A,2,0.0
1b8t_A,3,0.0
1b8t_A,4,0.0
1b8t_A,5,0.0
1b8t_A,6,0.0
1b8t_A,7,0.0
1b8t_A,8,0.0
1b8t_A,9,1.0
1fre_A,0,0.0
1fre_A,1,0.0
1fre_A,2,0.0
1fre_A,3,0.0
1fre_A,4,0.0
1fre_A,5,0.0
1fre_A,6,0.0
1fre_A,7,0.0
1fre_A,8,0.0
1fre_A,9,1.0
1ba9_A,0,0.0
1ba9_A,1,0.0
1ba9_A,2,0.986
1ba9_A,3,0.0
1ba9_A,4,0.0
1ba9_A,5,0.0
1ba9_A,6,0.0
1ba9_A,7,0.0
1ba9_A,8,0.0
1ba9_A,9,1.0
1fu9_A,0,0.0
1fu9_A,1,0.0
1fu9_A,2,0.0
1fu9_A,3,0.0
1fu9_A,4,0.0
1fu9_A,5,0.0
1fu9_A,6,0.0
1fu9_A,7,0.0
1fu9_A,8,0.0
1fu9_A,9,1.0
1bbo_A,0,0.0
1bbo_A,1,0.0
1bbo_A,2,0.0
1bbo_A,3,0.0
1bbo_A,4,0.0
1bbo_A,5,0.0
1bbo_A,6,0.0
1bbo_A,7,0.0
1bbo_A,8,0.0
1bbo_A,9,1.0
1fv5_A,0,0.0
1fv5_A,1,0.0
1fv5_A,2,0.0
1fv5_A,3,0.0
1fv5_A,4,0.0
1fv5_A,5,0.0
1fv5_A,6,0.0
1fv5_A,7,0.0
1fv5_A,8,0.0
1fv5_A,9,1.0
1bci_A,0,0.999
1bci_A,1,0.0
1bci_A,2,0.0
1bci_A,3,0.0
1bci_A,4,0.0
1bci_A,5,0.684
1bci_A,6,0.0
1bci_A,7,0.0
1bci_A,8,0.0
1bci_A,9,0.68
1fvs_A,0,0.817
1fvs_A,1,0.0
1fvs_A,2,0.92
1fvs_A,3,0.0
1fvs_A,4,0.0
1fvs_A,5,0.0
1fvs_A,6,0.0
1fvs_A,7,0.0
1fvs_A,8,0.0
1fvs_A,9,0.827
1bhp_A,0,0.0
1bhp_A,1,0.0
1bhp_A,2,0.0
1bhp_A,3,0.0
1bhp_A,4,0.0
1bhp_A,5,0.0
1bhp_A,6,0.0
1bhp_A,7,0.0
1bhp_A,8,0.0
1bhp_A,9,0.602
1fwm_A,0,0.0
1fwm_A,1,0.0
1fwm_A,2,0.0
1fwm_A,3,0.0
1fwm_A,4,0.55
1fwm_A,5,0.0
1fwm_A,6,0.0
1fwm_A,7,0.973
1fwm_A,8,0.884
1fwm_A,9,0.973
1bm6_A,0,0.999
1bm6_A,1,0.0
1bm6_A,2,0.0
1bm6_A,3,0.0
1bm6_A,4,0.0
1bm6_A,5,0.0
1bm6_A,6,0.0
1bm6_A,7,0.0
1bm6_A,8,0.0
1bm6_A,9,1.0
1bm6_A,0,0.999
1bm6_A,1,0.0
1bm6_A,2,0.0
1bm6_A,3,0.0
1bm6_A,4,0.0
1bm6_A,5,0.0
1bm6_A,6,0.0
1bm6_A,7,0.0
1bm6_A,8,0.0
1bm6_A,9,1.0
1fwq_A,0,0.0
1fwq_A,1,0.0
1fwq_A,2,0.0
1fwq_A,3,0.0
1fwq_A,4,0.0
1fwq_A,5,0.0
1fwq_A,6,0.0
1fwq_A,7,0.0
1fwq_A,8,0.0
1fwq_A,9,1.0
1bor_A,0,0.0
1bor_A,1,0.0
1bor_A,2,0.0
1bor_A,3,0.0
1bor_A,4,0.0
1bor_A,5,0.0
1bor_A,6,0.0
1bor_A,7,0.0
1bor_A,8,0.0
1bor_A,9,1.0
1fzh_C,0,0.0
1fzh_C,1,0.521
1fzh_C,2,0.0
1fzh_C,3,0.704
1fzh_C,4,0.938
1fzh_C,5,0.0
1fzh_C,6,0.0
1fzh_C,7,0.0
1fzh_C,8,0.0
1fzh_C,9,0.51
1bpi_A,0,0.776
1bpi_A,1,0.0
1bpi_A,2,0.0
1bpi_A,3,0.0
1bpi_A,4,0.0
1bpi_A,5,0.0
1bpi_A,6,0.0
1bpi_A,7,0.0
1bpi_A,8,0.0
1bpi_A,9,0.0
1g25_A,0,0.0
1g25_A,1,0.0
1g25_A,2,0.0
1g25_A,3,0.0
1g25_A,4,0.0
1g25_A,5,0.0
1g25_A,6,0.0
1g25_A,7,0.0
1g25_A,8,0.0
1g25_A,9,1.0
1bt7_A,0,0.0
1bt7_A,1,0.0
1bt7_A,2,0.0
1bt7_A,3,0.0
1bt7_A,4,0.0
1bt7_A,5,0.0
1bt7_A,6,0.0
1bt7_A,7,0.0
1bt7_A,8,0.0
1bt7_A,9,1.0
1g47_A,0,0.0
1g47_A,1,0.0
1g47_A,2,0.0
1g47_A,3,0.0
1g47_A,4,0.0
1g47_A,5,0.0
1g47_A,6,0.0
1g47_A,7,0.0
1g47_A,8,0.0
1g47_A,9,1.0
1btc_A,0,0.0
1btc_A,1,0.0
1btc_A,2,0.0
1btc_A,3,0.0
1btc_A,4,0.0
1btc_A,5,0.532
1btc_A,6,0.0
1btc_A,7,0.0
1btc_A,8,0.0
1btc_A,9,0.0
1g8t_A,0,0.613
1g8t_A,1,0.0
1g8t_A,2,0.0
1g8t_A,3,0.0
1g8t_A,4,0.0
1g8t_A,5,0.863
1g8t_A,6,0.0
1g8t_A,7,0.706
1g8t_A,8,0.0
1g8t_A,9,0.992
1bxn_A,0,0.63
1bxn_A,1,0.0
1bxn_A,2,0.0
1bxn_A,3,0.0
1bxn_A,4,0.0
1bxn_A,5,0.991
1bxn_A,6,0.777
1bxn_A,7,0.0
1bxn_A,8,0.0
1bxn_A,9,0.0
1gdc_A,0,0.0
1gdc_A,1,0.0
1gdc_A,2,0.0
1gdc_A,3,0.0
1gdc_A,4,0.0
1gdc_A,5,0.0
1gdc_A,6,0.0
1gdc_A,7,0.0
1gdc_A,8,0.0
1gdc_A,9,1.0
1byn_A,0,0.998
1byn_A,1,0.0
1byn_A,2,0.0
1byn_A,3,0.0
1byn_A,4,0.0
1byn_A,5,0.0
1byn_A,6,0.0
1byn_A,7,0.0
1byn_A,8,0.0
1byn_A,9,0.0
1glf_Y,0,0.774
1glf_Y,1,0.0
1glf_Y,2,0.0
1glf_Y,3,0.0
1glf_Y,4,0.0
1glf_Y,5,0.973
1glf_Y,6,0.0
1glf_Y,7,0.817
1glf_Y,8,0.771
1glf_Y,9,0.0
1c07_A,0,0.999
1c07_A,1,0.0
1c07_A,2,0.0
1c07_A,3,0.0
1c07_A,4,0.0
1c07_A,5,0.0
1c07_A,6,0.0
1c07_A,7,0.0
1c07_A,8,0.0
1c07_A,9,0.0
1gnf_A,0,0.0
1gnf_A,1,0.0
1gnf_A,2,0.0
1gnf_A,3,0.0
1gnf_A,4,0.0
1gnf_A,5,0.0
1gnf_A,6,0.0
1gnf_A,7,0.0
1gnf_A,8,0.0
1gnf_A,9,1.0
1c9q_A,0,0.0
1c9q_A,1,0.0
1c9q_A,2,0.0
1c9q_A,3,0.0
1c9q_A,4,0.0
1c9q_A,5,0.0
1c9q_A,6,0.0
1c9q_A,7,0.0
1c9q_A,8,0.0
1c9q_A,9,1.0
1gnx_A,0,0.0
1gnx_A,1,0.0
1gnx_A,2,0.0
1gnx_A,3,0.0
1gnx_A,4,0.0
1gnx_A,5,0.0
1gnx_A,6,0.0
1gnx_A,7,0.0
1gnx_A,8,0.0
1gnx_A,9,0.0
1cee_A,0,0.0
1cee_A,1,0.0
1cee_A,2,0.0
1cee_A,3,0.0
1cee_A,4,0.0
1cee_A,5,0.994
1cee_A,6,0.0
1cee_A,7,0.0
1cee_A,8,0.0
1cee_A,9,0.759
1gnx_B,0,0.0
1gnx_B,1,0.0
1gnx_B,2,0.0
1gnx_B,3,0.0
1gnx_B,4,0.0
1gnx_B,5,0.0
1gnx_B,6,0.0
1gnx_B,7,0.0
1gnx_B,8,0.0
1gnx_B,9,0.0
1cf4_A,0,0.0
1cf4_A,1,0.0
1cf4_A,2,0.0
1cf4_A,3,0.0
1cf4_A,4,0.0
1cf4_A,5,0.994
1cf4_A,6,0.0
1cf4_A,7,0.0
1cf4_A,8,0.0
1cf4_A,9,0.785
1gon_B,0,0.0
1gon_B,1,0.0
1gon_B,2,0.0
1gon_B,3,0.0
1gon_B,4,0.0
1gon_B,5,0.0
1gon_B,6,0.0
1gon_B,7,0.0
1gon_B,8,0.0
1gon_B,9,0.0
1cff_A,0,0.999
1cff_A,1,0.0
1cff_A,2,0.0
1cff_A,3,0.0
1cff_A,4,0.0
1cff_A,5,0.0
1cff_A,6,0.0
1cff_A,7,0.0
1cff_A,8,0.0
1cff_A,9,0.0
1goy_A,0,0.714
1goy_A,1,0.0
1goy_A,2,0.0
1goy_A,3,0.0
1goy_A,4,0.0
1goy_A,5,0.0
1goy_A,6,0.0
1goy_A,7,0.861
1goy_A,8,0.785
1goy_A,9,0.817
1chc_A,0,0.0
1chc_A,1,0.0
1chc_A,2,0.0
1chc_A,3,0.0
1chc_A,4,0.0
1chc_A,5,0.0
1chc_A,6,0.0
1chc_A,7,0.0
1chc_A,8,0.0
1chc_A,9,1.0
1gpw_A,0,0.0
1gpw_A,1,0.0
1gpw_A,2,0.0
1gpw_A,3,0.0
1gpw_A,4,0.0
1gpw_A,5,0.815
1gpw_A,6,0.0
1gpw_A,7,0.976
1gpw_A,8,0.874
1gpw_A,9,0.0
1cl4_A,0,0.0
1cl4_A,1,0.0
1cl4_A,2,0.0
1cl4_A,3,0.0
1cl4_A,4,0.0
1cl4_A,5,0.0
1cl4_A,6,0.0
1cl4_A,7,0.0
1cl4_A,8,0.0
1cl4_A,9,1.0
1gpw_E,0,0.531
1gpw_E,1,0.0
1gpw_E,2,0.0
1gpw_E,3,0.0
1gpw_E,4,0.0
1gpw_E,5,0.828
1gpw_E,6,0.521
1gpw_E,7,0.976
1gpw_E,8,0.876
1gpw_E,9,0.0
1cli_A,0,0.604
1cli_A,1,0.0
1cli_A,2,0.0
1cli_A,3,0.0
1cli_A,4,0.0
1cli_A,5,0.896
1cli_A,6,0.71
1cli_A,7,0.0
1cli_A,8,0.5
1cli_A,9,0.0
1grf_A,0,0.0
1grf_A,1,0.0
1grf_A,2,0.0
1grf_A,3,0.0
1grf_A,4,0.0
1grf_A,5,0.55
1grf_A,6,0.0
1grf_A,7,0.856
1grf_A,8,0.794
1grf_A,9,0.736
1co4_A,0,0.0
1co4_A,1,0.0
1co4_A,2,0.0
1co4_A,3,0.0
1co4_A,4,0.0
1co4_A,5,0.0
1co4_A,6,0.0
1co4_A,7,0.0
1co4_A,8,0.0
1co4_A,9,1.0
1gzh_D,0,0.0
1gzh_D,1,0.0
1gzh_D,2,0.0
1gzh_D,3,0.0
1gzh_D,4,0.0
1gzh_D,5,0.703
1gzh_D,6,0.0
1gzh_D,7,0.0
1gzh_D,8,0.0
1gzh_D,9,0.997
1cr8_A,0,0.999
1cr8_A,1,0.0
1cr8_A,2,0.0
1cr8_A,3,0.0
1cr8_A,4,0.0
1cr8_A,5,0.0
1cr8_A,6,0.0
1cr8_A,7,0.0
1cr8_A,8,0.0
1cr8_A,9,0.575
1h1a_B,0,0.643
1h1a_B,1,0.0
1h1a_B,2,0.0
1h1a_B,3,0.0
1h1a_B,4,0.0
1h1a_B,5,0.0
1h1a_B,6,0.0
1h1a_B,7,0.0
1h1a_B,8,0.0
1h1a_B,9,0.0
1cta_A,0,0.999
1cta_A,1,0.0
1cta_A,2,0.0
1cta_A,3,0.0
1cta_A,4,0.0
1cta_A,5,0.0
1cta_A,6,0.0
1cta_A,7,0.0
1cta_A,8,0.0
1cta_A,9,0.0
1h3i_B,0,0.782
1h3i_B,1,0.0
1h3i_B,2,0.0
1h3i_B,3,0.0
1h3i_B,4,0.0
1h3i_B,5,0.687
1h3i_B,6,0.901
1h3i_B,7,0.0
1h3i_B,8,0.0
1h3i_B,9,0.0
1cur_A,0,0.0
1cur_A,1,0.0
1cur_A,2,0.996
1cur_A,3,0.0
1cur_A,4,0.0
1cur_A,5,0.0
1cur_A,6,0.0
1cur_A,7,0.0
1cur_A,8,0.0
1cur_A,9,0.681
1h4b_A,0,0.999
1h4b_A,1,0.0
1h4b_A,2,0.0
1h4b_A,3,0.0
1h4b_A,4,0.0
1h4b_A,5,0.0
1h4b_A,6,0.0
1h4b_A,7,0.0
1h4b_A,8,0.0
1h4b_A,9,0.701
1cws_A,0,0.0
1cws_A,1,0.0
1cws_A,2,0.0
1cws_A,3,0.0
1cws_A,4,0.0
1cws_A,5,0.0
1cws_A,6,0.0
1cws_A,7,0.0
1cws_A,8,0.0
1cws_A,9,0.821
1h5n_C,0,0.636
1h5n_C,1,0.0
1h5n_C,2,0.0
1h5n_C,3,0.0
1h5n_C,4,0.918
1h5n_C,5,0.0
1h5n_C,6,0.583
1h5n_C,7,0.689
1h5n_C,8,0.0
1h5n_C,9,0.0
1cxx_A,0,0.0
1cxx_A,1,0.0
1cxx_A,2,0.0
1cxx_A,3,0.0
1cxx_A,4,0.0
1cxx_A,5,0.0
1cxx_A,6,0.0
1cxx_A,7,0.0
1cxx_A,8,0.0
1cxx_A,9,1.0
1h7b_A,0,0.0
1h7b_A,1,0.0
1h7b_A,2,0.0
1h7b_A,3,0.0
1h7b_A,4,0.0
1h7b_A,5,0.0
1h7b_A,6,0.0
1h7b_A,7,0.0
1h7b_A,8,0.0
1h7b_A,9,0.637
1czj_A,0,0.705
1czj_A,1,0.0
1czj_A,2,0.914
1czj_A,3,0.0
1czj_A,4,0.0
1czj_A,5,0.0
1czj_A,6,0.0
1czj_A,7,0.0
1czj_A,8,0.0
1czj_A,9,0.942
1h7u_B,0,0.0
1h7u_B,1,0.0
1h7u_B,2,0.0
1h7u_B,3,0.0
1h7u_B,4,0.0
1h7u_B,5,0.902
1h7u_B,6,0.0
1h7u_B,7,0.0
1h7u_B,8,0.0
1h7u_B,9,0.771
1d2j_A,0,0.999
1d2j_A,1,0.0
1d2j_A,2,0.0
1d2j_A,3,0.0
1d2j_A,4,0.0
1d2j_A,5,0.0
1d2j_A,6,0.0
1d2j_A,7,0.0
1d2j_A,8,0.0
1d2j_A,9,0.0
1h8h_B,0,0.0
1h8h_B,1,0.0
1h8h_B,2,0.0
1h8h_B,3,0.0
1h8h_B,4,0.0
1h8h_B,5,0.99
1h8h_B,6,0.0
1h8h_B,7,0.0
1h8h_B,8,0.0
1h8h_B,9,0.0
1d2l_A,0,0.999
1d2l_A,1,0.0
1d2l_A,2,0.0
1d2l_A,3,0.0
1d2l_A,4,0.0
1d2l_A,5,0.0
1d2l_A,6,0.0
1d2l_A,7,0.0
1d2l_A,8,0.0
1d2l_A,9,0.669
1hcp_A,0,0.0
1hcp_A,1,0.0
1hcp_A,2,0.0
1hcp_A,3,0.0
1hcp_A,4,0.0
1hcp_A,5,0.0
1hcp_A,6,0.0
1hcp_A,7,0.0
1hcp_A,8,0.0
1hcp_A,9,1.0
1daq_A,0,0.999
1daq_A,1,0.0
1daq_A,2,0.0
1daq_A,3,0.0
1daq_A,4,0.0
1daq_A,5,0.0
1daq_A,6,0.0
1daq_A,7,0.0
1daq_A,8,0.0
1daq_A,9,0.0
1hfe_M,0,0.0
1hfe_M,1,0.0
1hfe_M,2,0.0
1hfe_M,3,0.0
1hfe_M,4,0.0
1hfe_M,5,0.739
1hfe_M,6,0.0
1hfe_M,7,0.0
1hfe_M,8,0.0
1hfe_M,9,0.697
1def_A,0,0.0
1def_A,1,0.0
1def_A,2,0.0
1def_A,3,0.0
1def_A,4,0.797
1def_A,5,0.0
1def_A,6,0.0
1def_A,7,0.0
1def_A,8,0.0
1def_A,9,0.991
1hov_A,0,0.999
1hov_A,1,0.0
1hov_A,2,0.0
1hov_A,3,0.0
1hov_A,4,0.0
1hov_A,5,0.0
1hov_A,6,0.0
1hov_A,7,0.0
1hov_A,8,0.0
1hov_A,9,1.0
1hov_A,0,0.999
1hov_A,1,0.0
1hov_A,2,0.0
1hov_A,3,0.0
1hov_A,4,0.0
1hov_A,5,0.0
1hov_A,6,0.0
1hov_A,7,0.0
1hov_A,8,0.0
1hov_A,9,1.0
1dfe_A,0,0.0
1dfe_A,1,0.0
1dfe_A,2,0.0
1dfe_A,3,0.0
1dfe_A,4,0.0
1dfe_A,5,0.0
1dfe_A,6,0.0
1dfe_A,7,0.0
1dfe_A,8,0.0
1dfe_A,9,1.0
1hra_A,0,0.0
1hra_A,1,0.0
1hra_A,2,0.0
1hra_A,3,0.0
1hra_A,4,0.0
1hra_A,5,0.0
1hra_A,6,0.0
1hra_A,7,0.0
1hra_A,8,0.0
1hra_A,9,1.0
1dgw_Y,0,0.0
1dgw_Y,1,0.0
1dgw_Y,2,0.0
1dgw_Y,3,0.0
1dgw_Y,4,0.0
1dgw_Y,5,0.0
1dgw_Y,6,0.514
1dgw_Y,7,0.0
1dgw_Y,8,0.0
1dgw_Y,9,0.0
1hyi_A,0,0.0
1hyi_A,1,0.0
1hyi_A,2,0.0
1hyi_A,3,0.0
1hyi_A,4,0.0
1hyi_A,5,0.0
1hyi_A,6,0.0
1hyi_A,7,0.0
1hyi_A,8,0.0
1hyi_A,9,1.0
1dl6_A,0,0.0
1dl6_A,1,0.0
1dl6_A,2,0.0
1dl6_A,3,0.0
1dl6_A,4,0.0
1dl6_A,5,0.0
1dl6_A,6,0.0
1dl6_A,7,0.0
1dl6_A,8,0.0
1dl6_A,9,1.0
1hz8_A,0,0.999
1hz8_A,1,0.0
1hz8_A,2,0.0
1hz8_A,3,0.0
1hz8_A,4,0.0
1hz8_A,5,0.0
1hz8_A,6,0.0
1hz8_A,7,0.0
1hz8_A,8,0.0
1hz8_A,9,0.0
1dsv_A,0,0.0
1dsv_A,1,0.0
1dsv_A,2,0.0
1dsv_A,3,0.0
1dsv_A,4,0.0
1dsv_A,5,0.0
1dsv_A,6,0.0
1dsv_A,7,0.0
1dsv_A,8,0.0
1dsv_A,9,1.0
1ibi_A,0,0.0
1ibi_A,1,0.0
1ibi_A,2,0.0
1ibi_A,3,0.0
1ibi_A,4,0.0
1ibi_A,5,0.0
1ibi_A,6,0.0
1ibi_A,7,0.0
1ibi_A,8,0.0
1ibi_A,9,1.0
1dsw_A,0,0.0
1dsw_A,1,0.0
1dsw_A,2,0.986
1dsw_A,3,0.0
1dsw_A,4,0.0
1dsw_A,5,0.0
1dsw_A,6,0.0
1dsw_A,7,0.0
1dsw_A,8,0.0
1dsw_A,9,1.0
1dsw_A,0,0.0
1dsw_A,1,0.0
1dsw_A,2,0.986
1dsw_A,3,0.0
1dsw_A,4,0.0
1dsw_A,5,0.0
1dsw_A,6,0.0
1dsw_A,7,0.0
1dsw_A,8,0.0
1dsw_A,9,1.0
1ijt_A,0,0.0
1ijt_A,1,0.0
1ijt_A,2,0.0
1ijt_A,3,0.0
1ijt_A,4,0.0
1ijt_A,5,0.0
1ijt_A,6,0.0
1ijt_A,7,0.503
1ijt_A,8,0.654
1ijt_A,9,0.0
1dt0_B,0,0.0
1dt0_B,1,0.0
1dt0_B,2,0.0
1dt0_B,3,0.898
1dt0_B,4,0.954
1dt0_B,5,0.0
1dt0_B,6,0.945
1dt0_B,7,0.0
1dt0_B,8,0.0
1dt0_B,9,0.0
1iml_A,0,0.0
1iml_A,1,0.0
1iml_A,2,0.0
1iml_A,3,0.0
1iml_A,4,0.0
1iml_A,5,0.0
1iml_A,6,0.0
1iml_A,7,0.0
1iml_A,8,0.0
1iml_A,9,1.0
1dt7_A,0,0.999
1dt7_A,1,0.0
1dt7_A,2,0.0
1dt7_A,3,0.0
1dt7_A,4,0.0
1dt7_A,5,0.0
1dt7_A,6,0.0
1dt7_A,7,0.0
1dt7_A,8,0.0
1dt7_A,9,0.647
1iq3_A,0,0.998
1iq3_A,1,0.0
1iq3_A,2,0.0
1iq3_A,3,0.0
1iq3_A,4,0.0
1iq3_A,5,0.0
1iq3_A,6,0.0
1iq3_A,7,0.0
1iq3_A,8,0.0
1iq3_A,9,0.0
1dx8_A,0,0.0
1dx8_A,1,0.0
1dx8_A,2,0.0
1dx8_A,3,0.825
1dx8_A,4,0.944
1dx8_A,5,0.0
1dx8_A,6,0.597
1dx8_A,7,0.0
1dx8_A,8,0.0
1dx8_A,9,0.973
1it4_A,0,0.99
1it4_A,1,0.0
1it4_A,2,0.0
1it4_A,3,0.0
1it4_A,4,0.0
1it4_A,5,0.738
1it4_A,6,0.0
1it4_A,7,0.0
1it4_A,8,0.0
1it4_A,9,0.0
1dzi_A,0,0.76
1dzi_A,1,0.0
1dzi_A,2,0.0
1dzi_A,3,0.0
1dzi_A,4,0.0
1dzi_A,5,0.991
1dzi_A,6,0.673
1dzi_A,7,0.0
