pdbchain,LigID,partitions
1c8t_A,"{'CA', 'ZN'}",1
1c8y_A,{'ZN'},1
1c9j_A,{'CA'},1
1c9k_A,{'PO4'},4
1c9k_C,{'MG'},4
1c9m_A,{'CA'},1
1c9u_B,{'CA'},1
1ca1_A,{'ZN'},2
1cai_A,"{'ZN', 'SO4'}",4
1caj_A,"{'ZN', 'SO4'}",4
1cak_A,"{'ZN', 'SO4'}",4
1cal_A,{'ZN'},4
1cb4_A,{'CU'},6
1cb8_A,{'CA'},3
1cbj_A,"{'ZN', 'CU'}",6
1cbk_A,{'SO4'},5
1cbx_A,{'ZN'},2
1cc1_L,{'FE2'},1
1cc3_A,{'CU'},2
1ccs_A,{'ZN'},4
1cct_A,{'ZN'},4
1ccu_A,{'ZN'},4
1cdg_A,{'CA'},2
1cdk_A,{'MN'},3
1cdm_A,{'CA'},5
1cdo_A,{'ZN'},4
1ce2_A,{'FE'},3
1ceh_A,{'CA'},4
1cel_A,{'CA'},2
1ces_A,{'ZN'},3
1ces_B,{'ZN'},3
1cev_A,{'MN'},3
1cg0_A,{'MG'},6
1cg1_A,{'MG'},6
1cg2_A,{'ZN'},5
1cg3_A,{'MG'},6
1cg4_A,{'MG'},6
1cg6_A,{'SO4'},2
1cge_A,"{'CA', 'ZN'}",1
1cgl_A,"{'CA', 'ZN'}",1
1cgl_B,"{'CA', 'ZN'}",1
1cgt_A,{'CA'},2
1cgu_A,{'CA'},2
1cgv_A,{'CA'},2
1cgw_A,{'CA'},2
1cgx_A,{'CA'},2
1cgy_A,{'CA'},2
1ch0_A,{'CA'},1
1ci3_M,{'ZN'},1
1ci6_B,{'FE'},5
1cia_A,{'CO'},3
1cit_A,{'ZN'},6
1cjk_C,{'MG'},4
1cjm_A,{'SO4'},2
1cjv_C,"{'ZN', 'MG'}",4
1cjx_A,{'FE2'},4
1cjy_A,{'CA'},4
1cjy_B,{'CA'},4
1ck1_A,{'ZN'},2
1ck7_A,"{'CA', 'ZN'}",3
1cla_A,{'CO'},3
1clk_A,"{'CO', 'MG'}",6
1clq_A,{'CA'},4
1clv_A,{'CA'},6
1cm8_A,{'MG'},3
1cmc_A,{'MG'},2
1cng_A,{'ZN'},4
1cnh_A,{'ZN'},4
1cni_A,{'ZN'},4
1cnj_A,{'ZN'},4
1cnk_A,{'ZN'},4
1cnq_A,"{'PO4', 'ZN'}",3
1cnz_A,{'MN'},6
1co7_E,{'CA'},2
1coj_A,{'FE'},5
1cp7_A,"{'CA', 'ZN'}",6
1cp9_A,{'CA'},4
1cp9_B,{'CA'},4
1cpm_A,{'CA'},4
1cpn_A,{'CA'},4
1cpo_A,{'MN'},2
1cpr_A,{'ZN'},6
1cq1_B,{'CA'},1
1cqj_A,{'PO4'},5
1cqj_B,{'PO4'},2
1cqp_A,{'MG'},4
1cqv_A,{'ZN'},2
1cru_A,{'CA'},1
1cs4_C,{'MG'},4
1csn_A,{'MG'},3
1ctr_A,{'CA'},5
1cu1_A,{'ZN'},2
1cuo_A,{'CU'},2
1cva_A,{'ZN'},4
1cvd_A,{'ZN'},4
1cve_A,{'ZN'},4
1cvh_A,{'ZN'},4
1cvl_A,{'CA'},1
1cvm_A,{'CA'},1
1cvr_A,"{'CA', 'ZN'}",4
1cvw_H,{'CA'},2
1cw0_A,"{'ZN', 'MG'}",3
1cw1_A,{'MN'},6
1cw3_A,{'MG'},2
1cx0_A,{'MG'},6
1cxf_A,{'CA'},2
1cxl_A,{'CA'},2
1cxv_A,"{'CA', 'ZN'}",1
1cxz_A,{'MG'},3
1cyg_A,{'CA'},2
1cyq_A,{'ZN'},3
1czf_B,{'ZN'},3
1d09_B,{'ZN'},1
1d0b_A,{'CA'},2
1d0c_A,{'ZN'},3
1d0i_H,{'PO4'},3
1d0k_A,{'CA'},2
1d0m_A,{'CA'},2
1d0q_A,{'ZN'},6
1d0s_A,{'PO4'},2
1d0x_A,{'MG'},5
1d0y_A,{'MG'},5
1d0z_A,{'MG'},5
1d1a_A,{'MG'},5
1d1b_A,{'MG'},5
1d1c_A,{'MG'},5
1d1t_A,{'ZN'},4
1d2e_C,{'MG'},2
1d2i_A,{'MG'},2
1d2i_B,{'MG'},2
1d2s_A,{'CA'},5
1d2t_A,{'SO4'},3
1d3k_A,{'FE'},6
1d3y_A,{'MG'},2
1d3y_B,{'MG'},2
1d4n_A,{'FE'},6
1d5a_A,{'MG'},6
1d5n_A,{'MN'},5
1d6n_A,{'MG'},1
1d7f_A,{'CA'},2
1d8c_A,{'MG'},5
1d8d_B,{'ZN'},3
1d8h_A,"{'MN', 'SO4'}",3
1d8w_A,{'ZN'},4
1d8w_D,{'ZN'},4
1d8y_A,{'ZN'},5
1d9d_A,"{'ZN', 'MG'}",5
1d9v_A,{'PO4'},4
1d9x_A,{'ZN'},4
1d9y_A,{'FE'},4
1daw_A,{'MG'},3
1dbf_A,{'SO4'},2
1dbi_A,{'CA'},1
1dbn_A,"{'CA', 'MN'}",4
1dbo_A,{'SO4'},6
1dbr_A,{'MG'},1
1dbr_B,{'MG'},1
1dca_A,{'ZN'},4
1dce_B,{'ZN'},5
1dck_B,{'MN'},4
1dcq_A,{'ZN'},5
1dct_A,{'CA'},2
1dd1_A,{'SO4'},1
1dd1_B,{'SO4'},1
1dd1_C,{'SO4'},1
1ddr_B,{'CA'},6
1ddz_A,{'ZN'},4
1de4_C,{'CA'},5
1de5_A,{'ZN'},4
1de9_A,{'MN'},4
1dea_A,{'PO4'},6
1deh_A,{'ZN'},4
1dek_A,{'MG'},2
1dek_B,{'MG'},2
1dfv_B,{'SO4'},5
1dfx_A,"{'CA', 'FE'}",6
1dg1_H,{'MG'},2
1dgk_N,{'PO4'},4
1dgl_A,"{'CA', 'MN'}",3
1dgm_A,{'MG'},4
1dgs_A,{'ZN'},5
1dhk_A,{'CA'},6
1dhk_B,{'CA'},4
1dhy_A,{'FE'},2
1did_A,{'MN'},6
1dj9_A,{'MG'},3
1dji_A,{'CA'},2
1dji_B,{'CA'},2
1djs_A,{'SO4'},6
1djs_B,{'SO4'},4
1djw_B,{'CA'},2
1dk4_A,{'ZN'},4
1dk5_A,{'SO4'},1
1dk5_B,{'SO4'},1
1dl2_A,{'CA'},2
1dlm_A,{'FE'},1
1dm5_A,{'CA'},1
1dmt_A,{'ZN'},2
1dmu_A,{'CA'},3
1dmx_A,{'ZN'},4
1do0_B,{'MG'},3
1do6_A,{'FE'},6
1do8_A,{'MN'},2
1doa_A,{'MG'},3
1dos_A,{'ZN'},4
1dot_A,{'FE'},3
1dpg_A,{'PO4'},3
1dpm_A,{'ZN'},4
1dpo_A,"{'CA', 'SO4'}",2
1dq3_A,{'ZN'},4
1dq4_A,{'MN'},3
1dq4_B,{'MN'},3
1dqg_A,{'SO4'},1
1dqn_A,{'MG'},1
1dqs_A,{'ZN'},5
1dqs_B,{'ZN'},5
1dr2_A,{'CA'},6
1drt_A,{'FE2'},2
1dry_A,{'FE2'},2
1ds1_A,{'FE2'},2
1ds6_A,{'MG'},3
1dse_A,{'PO4'},3
1dsn_A,{'FE'},6
1dss_G,{'SO4'},4
1dsy_A,{'CA'},2
1dsz_A,{'ZN'},6
1dsz_B,{'ZN'},6
1dt0_A,{'FE'},5
1dtd_A,{'ZN'},2
1dtg_A,{'FE'},6
1dth_A,"{'CA', 'ZN'}",6
1dtl_A,{'CA'},5
1dtn_A,{'MG'},4
1dtu_A,{'CA'},2
1dtw_A,{'MG'},2
1dv1_A,{'PO4'},5
1dv1_B,{'PO4'},5
1dv6_H,{'ZN'},2
1dvf_B,{'ZN'},1
1dvf_C,{'ZN'},5
1dvf_D,{'ZN'},1
1dvi_A,{'CA'},2
1dvp_A,{'ZN'},1
1dwa_M,{'ZN'},3
1dx5_I,{'CA'},4
1dxe_A,"{'PO4', 'MG'}",6
1dxg_A,{'FE'},1
1dxi_A,{'MG'},6
1dxk_A,{'ZN'},2
1dxr_L,{'FE2'},5
1dxr_M,{'FE2'},1
1dxy_A,{'SO4'},2
1dy1_A,{'ZN'},4
1dy5_A,{'SO4'},4
1dyi_B,{'CA'},6
1dyo_A,{'CA'},3
1dyq_A,{'ZN'},2
1dyz_A,{'CU'},2
1dzq_A,"{'CA', 'MN'}",4
1dzq_B,"{'CA', 'MN'}",4
1dzu_P,{'ZN'},1
1dzw_P,{'ZN'},1
1dzz_P,{'ZN'},1
1e0j_A,{'MG'},5
1e0j_B,{'MG'},5
1e0o_D,{'SO4'},6
1e14_M,{'FE'},1
1e1h_A,{'ZN'},2
1e22_A,{'MG'},5
1e2s_P,{'MG'},2
1e30_A,{'CU'},6
1e33_P,{'MG'},2
1e3a_B,{'CA'},4
1e3c_P,{'MG'},2
1e3d_B,{'MG'},1
1e3e_A,{'ZN'},4
1e3j_A,"{'PO4', 'ZN'}",4
1e3l_A,{'ZN'},4
1e3m_A,{'MG'},2
1e3x_A,{'CA'},2
1e4e_A,{'MG'},4
1e4e_B,{'MG'},4
1e4m_M,"{'ZN', 'SO4'}",3
1e51_A,{'ZN'},5
1e54_A,{'CA'},3
1e58_A,{'SO4'},2
1e5h_A,{'FE2'},5
1e5i_A,{'FE2'},5
1e5j_A,{'CA'},6
1e5s_A,{'FE2'},2
1e5s_B,{'FE2'},2
1e6a_A,{'MN'},5
1e6d_M,{'FE'},1
1e7d_A,"{'CA', 'ZN'}",5
1e7l_A,"{'ZN', 'SO4'}",5
1e7m_A,{'CA'},3
1e8u_B,{'CA'},5
1e96_A,{'MG'},3
1e9i_C,{'MG'},2
1e9o_A,{'CU'},6
1e9o_B,{'CU'},6
1e9p_A,{'CU'},6
1e9p_B,"{'ZN', 'CU'}",6
1ea6_A,{'MG'},4
1ea6_B,{'MG'},4
1ea7_A,{'CA'},1
1eak_A,"{'CA', 'ZN'}",3
1eb6_A,{'ZN'},3
1eb7_A,{'CA'},3
1ebg_A,{'MG'},2
1ec5_A,{'ZN'},3
1ec7_A,{'MG'},4
1ec7_B,{'MG'},4
1ec7_C,{'MG'},4
1ec7_D,{'MG'},4
1ec9_D,{'MG'},4
1ecb_A,{'MG'},6
1ecb_D,{'MG'},6
1ecc_A,{'MN'},6
1ee2_A,{'ZN'},4
1ee6_A,{'CA'},2
1ee8_A,{'ZN'},4
1eep_A,{'SO4'},6
1eep_B,{'SO4'},6
1ef0_A,{'ZN'},2
1ef0_B,{'ZN'},2
1ef2_A,{'MN'},3
1eft_A,{'MG'},2
1efz_A,{'ZN'},3
1eg9_A,{'FE'},3
1egg_A,{'CA'},1
1egg_B,{'CA'},1
1egi_A,{'CA'},1
1egn_A,{'CO'},2
1egu_A,{'SO4'},4
1egz_A,{'CA'},5
1eh3_A,{'FE'},6
1eh6_A,{'ZN'},1
1eh7_A,{'ZN'},1
1ehi_A,{'MG'},4
1ehk_A,{'CU'},4
1ei6_A,{'ZN'},4
1ei6_B,{'ZN'},4
1ei6_C,{'ZN'},4
1ei6_D,{'ZN'},4
1eil_A,{'FE'},2
1ej2_A,{'SO4'},2
1ej7_L,{'PO4'},1
1ek0_A,{'MG'},3
1ek3_A,{'CA'},5
1ekb_B,{'ZN'},2
1ekj_G,"{'ZN', 'CU'}",5
1el1_A,{'CA'},5
1els_A,{'MN'},2
1elt_A,{'CA'},2
1elx_A,"{'ZN', 'PO4', 'MG'}",1
1ely_A,"{'ZN', 'PO4', 'MG'}",1
1elz_A,"{'ZN', 'PO4', 'MG'}",1
1em1_A,{'MN'},5
1en4_A,{'MN'},5
1en5_A,{'MN'},5
1en6_A,{'MN'},5
1ena_A,{'CA'},1
1enq_A,{'ZN'},3
1enq_B,{'ZN'},3
1enq_C,{'ZN'},3
1enq_D,{'ZN'},3
1eo2_B,{'FE'},4
1eo3_A,{'MG'},1
1eo3_B,{'MG'},1
1eo4_A,{'MN'},1
1eo5_A,{'CA'},2
1epy_A,{'CO'},4
1eqy_S,{'CA'},1
1esn_A,{'MG'},5
1eso_A,"{'ZN', 'CU'}",6
1esp_A,"{'CA', 'ZN'}",1
1esu_A,{'SO4'},5
1et7_A,{'CU'},6
1et8_A,{'CU'},6
1ete_A,{'ZN'},6
1eth_A,{'CA'},1
1etj_A,{'CU'},2
1etu_A,{'MG'},2
1eu3_A,{'ZN'},2
1eu4_A,{'ZN'},2
1euc_A,{'PO4'},5
1euc_B,{'ZN'},2
1evu_A,{'CA'},3
1ewc_A,{'ZN'},2
1ewk_B,{'MG'},1
1ex0_A,{'CA'},3
1ex0_B,{'CA'},3
1ex2_A,{'PO4'},6
1ex9_A,{'CA'},1
1exd_A,{'SO4'},4
1exm_A,{'MG'},2
1exz_A,{'CA'},5
1ey2_A,{'FE2'},5
1eye_A,{'MG'},1
1eys_L,{'FE'},5
1eys_M,{'FE'},1
1eyz_A,{'MG'},2
1ezl_A,{'CU'},2
1ezm_A,"{'CA', 'ZN'}",1
1ezr_A,{'CA'},3
1ezs_C,{'CA'},2
1ezw_A,{'MG'},1
1f0j_A,{'ZN'},1
1f0o_A,{'CA'},2
1f18_A,"{'ZN', 'CU'}",6
1f1a_A,"{'ZN', 'CU'}",6
1f1d_A,"{'ZN', 'CU'}",6
1f1h_A,{'MN'},3
1f1u_A,{'MN'},2
1f2f_A,{'PO4'},4
1f2i_G,{'ZN'},4
1f2n_C,{'CA'},2
1f2o_A,"{'CA', 'ZN'}",6
1f35_A,{'ZN'},2
1f3f_B,{'PO4'},4
1f3h_A,{'ZN'},5
1f3w_A,{'MN'},5
1f3x_A,{'MN'},5
1f48_A,{'MG'},2
1f4n_A,{'CA'},2
1f4o_B,{'CA'},2
1f4t_A,{'ZN'},3
1f51_D,{'MG'},3
1f57_A,{'ZN'},2
1f5a_A,{'MN'},3
1f5j_B,{'SO4'},2
1f5n_A,{'MG'},5
1f5r_A,{'CA'},2
1f5s_A,"{'PO4', 'MG'}",1
1f61_A,{'MG'},3
1f66_G,{'MN'},6
1f6b_A,{'MG'},3
1f6n_L,{'FE'},5
1f6s_A,{'CA'},5
1f6t_C,{'MG'},4
1f7l_A,{'CA'},1
1f7z_A,{'CA'},2
1f88_A,{'ZN'},3
1f88_B,{'ZN'},3
1f8f_A,{'ZN'},4
1f8i_B,{'MG'},3
1f8n_A,{'FE2'},4
1f8v_A,{'CA'},4
1f9b_A,{'FE'},3
1f9c_A,{'MN'},4
1f9d_A,{'CA'},1
1f9h_A,{'MG'},5
1f9k_A,"{'CA', 'MN'}",4
1f9o_A,{'CA'},1
1fa0_A,{'MN'},2
1fa0_B,{'MN'},2
1fa5_A,{'ZN'},1
1fak_H,{'CA'},2
1fat_A,"{'CA', 'MN'}",4
1fat_B,"{'CA', 'MN'}",4
1fat_D,"{'CA', 'MN'}",4
1fax_A,{'CA'},2
1fbc_B,{'MG'},3
1fbl_A,"{'CA', 'ZN'}",2
1fbp_A,{'MG'},3
1fbt_A,{'PO4'},5
1fbv_A,{'ZN'},3
1fbx_A,{'ZN'},2
1fcj_B,{'SO4'},3
1fcs_A,{'SO4'},5
1fe5_A,{'CA'},4
1ff5_A,{'CA'},1
1ffy_A,"{'ZN', 'MG'}",6
1fgg_A,{'MN'},3
1fgg_B,{'MN'},3
1fgm_A,{'FE'},4
1fgo_A,{'FE'},4
1fgq_A,{'FE'},4
1fgr_A,{'FE'},4
1fgs_A,{'MG'},5
1fgt_A,{'FE'},4
1fhf_A,{'CA'},2
1fhv_A,{'MG'},6
1fi1_A,{'MG'},3
1fi2_A,{'MN'},1
1fic_A,{'CA'},1
1fic_B,{'CA'},1
1fif_A,{'CA'},3
1fio_A,{'ZN'},5
1fiu_A,{'MG'},5
1fiz_A,{'SO4'},2
1fj3_A,"{'CA', 'ZN'}",1
1fj6_A,"{'PO4', 'ZN'}",3
1fj9_A,"{'PO4', 'ZN'}",3
1fjg_D,"{'ZN', 'MG'}",1
1fjg_L,{'MG'},5
1fjg_N,{'ZN'},4
1fjm_B,{'MN'},6
1fkq_A,{'CA'},5
1fkv_A,{'CA'},5
1fkw_A,{'ZN'},6
1fkx_A,{'ZN'},6
1flg_A,{'CA'},2
1flj_A,{'ZN'},4
1fmg_A,{'CA'},2
1fmj_A,{'CA'},6
1fml_A,{'CA'},6
1fmw_A,{'MG'},5
1fn9_A,{'ZN'},5
1fno_A,{'ZN'},3
1fnp_L,{'FE'},5
1fnq_L,{'FE'},5
1fny_A,{'CA'},4
1foa_A,{'MN'},4
1fof_A,{'CO'},3
1fp4_B,{'CA'},4
1fp6_A,{'MG'},5
1fpd_A,{'MN'},3
1fqe_A,{'FE'},6
1fqf_A,{'FE'},6
1fqk_A,{'MG'},4
1fql_A,{'ZN'},4
1fqr_A,{'CO'},4
1frf_L,"{'MG', 'FE'}",1
1frp_A,{'ZN'},3
1frw_A,{'MN'},1
1fs7_A,{'CA'},3
1fsa_A,{'MN'},3
1fsi_A,{'SO4'},5
1fsi_B,{'SO4'},5
1fsi_C,{'SO4'},5
1fsj_B,{'ZN'},3
