pdbid,labels,mebi_pred
1a6y_B,1,0.17
1a6y_B,2,0.25
1a6y_B,3,0.02
1a6y_B,4,0.02
1a6y_B,5,0.18
1a6y_B,6,0.01
1a6y_B,7,0.01
1a6y_B,8,0.01
1a6y_B,9,0.77
1a71_A,0,0.02
1a71_A,1,0.0
1a71_A,2,0.02
1a71_A,3,0.0
1a71_A,4,0.0
1a71_A,5,0.07
1a71_A,6,0.0
1a71_A,7,0.0
1a71_A,8,0.0
1a71_A,9,1.0
1a73_A,0,0.05
1a73_A,1,0.13
1a73_A,2,0.32
1a73_A,3,0.01
1a73_A,4,0.01
1a73_A,5,0.51
1a73_A,6,0.04
1a73_A,7,0.04
1a73_A,8,0.04
1a73_A,9,0.63
1a75_B,0,0.78
1a75_B,1,0.33
1a75_B,2,0.19
1a75_B,3,0.05
1a75_B,4,0.05
1a75_B,5,0.32
1a75_B,6,0.05
1a75_B,7,0.05
1a75_B,8,0.05
1a75_B,9,0.22
1a76_A,0,0.21
1a76_A,1,0.39
1a76_A,2,0.38
1a76_A,3,0.42
1a76_A,4,0.42
1a76_A,5,0.32
1a76_A,6,0.38
1a76_A,7,0.38
1a76_A,8,0.38
1a76_A,9,0.49
1a7k_A,0,0.14
1a7k_A,1,0.32
1a7k_A,2,0.45
1a7k_A,3,0.45
1a7k_A,4,0.45
1a7k_A,5,0.24
1a7k_A,6,0.17
1a7k_A,7,0.17
1a7k_A,8,0.17
1a7k_A,9,0.5
1a7w_A,0,0.07
1a7w_A,1,0.49
1a7w_A,2,0.31
1a7w_A,3,0.01
1a7w_A,4,0.01
1a7w_A,5,0.05
1a7w_A,6,0.5
1a7w_A,7,0.5
1a7w_A,8,0.5
1a7w_A,9,0.47
1a82_A,0,0.16
1a82_A,1,0.32
1a82_A,2,0.02
1a82_A,3,0.23
1a82_A,4,0.23
1a82_A,5,0.59
1a82_A,6,0.25
1a82_A,7,0.25
1a82_A,8,0.25
1a82_A,9,0.12
1a8a_A,0,0.9
1a8a_A,1,0.12
1a8a_A,2,0.11
1a8a_A,3,0.02
1a8a_A,4,0.02
1a8a_A,5,0.02
1a8a_A,6,0.02
1a8a_A,7,0.02
1a8a_A,8,0.02
1a8a_A,9,0.01
1a8h_A,0,0.61
1a8h_A,1,0.32
1a8h_A,2,0.36
1a8h_A,3,0.08
1a8h_A,4,0.08
1a8h_A,5,0.41
1a8h_A,6,0.52
1a8h_A,7,0.52
1a8h_A,8,0.52
1a8h_A,9,0.4
1a8t_A,0,0.22
1a8t_A,1,0.2
1a8t_A,2,0.21
1a8t_A,3,0.02
1a8t_A,4,0.02
1a8t_A,5,0.08
1a8t_A,6,0.07
1a8t_A,7,0.07
1a8t_A,8,0.07
1a8t_A,9,0.53
1a8v_A,0,0.26
1a8v_A,1,0.22
1a8v_A,2,0.45
1a8v_A,3,0.21
1a8v_A,4,0.21
1a8v_A,5,0.24
1a8v_A,6,0.06
1a8v_A,7,0.06
1a8v_A,8,0.06
1a8v_A,9,0.14
1a8v_B,0,0.27
1a8v_B,1,0.22
1a8v_B,2,0.46
1a8v_B,3,0.2
1a8v_B,4,0.2
1a8v_B,5,0.23
1a8v_B,6,0.06
1a8v_B,7,0.06
1a8v_B,8,0.06
1a8v_B,9,0.13
1a9o_A,0,0.61
1a9o_A,1,0.37
1a9o_A,2,0.13
1a9o_A,3,0.2
1a9o_A,4,0.2
1a9o_A,5,0.49
1a9o_A,6,0.3
1a9o_A,7,0.3
1a9o_A,8,0.3
1a9o_A,9,0.43
1aac_A,0,0.03
1aac_A,1,0.95
1aac_A,2,1.0
1aac_A,3,0.0
1aac_A,4,0.0
1aac_A,5,0.0
1aac_A,6,0.0
1aac_A,7,0.0
1aac_A,8,0.0
1aac_A,9,0.58
1abb_A,0,0.34
1abb_A,1,0.25
1abb_A,2,0.19
1abb_A,3,0.45
1abb_A,4,0.45
1abb_A,5,0.6
1abb_A,6,0.23
1abb_A,7,0.23
1abb_A,8,0.23
1abb_A,9,0.48
1acc_A,0,0.8
1acc_A,1,0.44
1acc_A,2,0.84
1acc_A,3,0.0
1acc_A,4,0.0
1acc_A,5,0.55
1acc_A,6,0.53
1acc_A,7,0.53
1acc_A,8,0.53
1acc_A,9,0.06
1acm_B,0,0.02
1acm_B,1,0.03
1acm_B,2,0.09
1acm_B,3,0.0
1acm_B,4,0.0
1acm_B,5,0.3
1acm_B,6,0.0
1acm_B,7,0.0
1acm_B,8,0.0
1acm_B,9,0.99
1ad5_A,0,0.55
1ad5_A,1,0.27
1ad5_A,2,0.06
1ad5_A,3,0.05
1ad5_A,4,0.05
1ad5_A,5,0.6
1ad5_A,6,0.33
1ad5_A,7,0.33
1ad5_A,8,0.33
1ad5_A,9,0.18
1adb_A,0,0.01
1adb_A,1,0.0
1adb_A,2,0.02
1adb_A,3,0.0
1adb_A,4,0.0
1adb_A,5,0.05
1adb_A,6,0.0
1adb_A,7,0.0
1adb_A,8,0.0
1adb_A,9,1.0
1adu_A,0,0.3
1adu_A,1,0.42
1adu_A,2,0.35
1adu_A,3,0.45
1adu_A,4,0.45
1adu_A,5,0.1
1adu_A,6,0.13
1adu_A,7,0.13
1adu_A,8,0.13
1adu_A,9,0.52
1adu_B,0,0.22
1adu_B,1,0.39
1adu_B,2,0.32
1adu_B,3,0.08
1adu_B,4,0.08
1adu_B,5,0.07
1adu_B,6,0.15
1adu_B,7,0.15
1adu_B,8,0.15
1adu_B,9,0.5
1adw_A,0,0.16
1adw_A,1,0.84
1adw_A,2,1.0
1adw_A,3,0.0
1adw_A,4,0.0
1adw_A,5,0.0
1adw_A,6,0.0
1adw_A,7,0.0
1adw_A,8,0.0
1adw_A,9,0.48
1aei_A,0,0.77
1aei_A,1,0.28
1aei_A,2,0.94
1aei_A,3,0.35
1aei_A,4,0.35
1aei_A,5,0.27
1aei_A,6,0.23
1aei_A,7,0.23
1aei_A,8,0.23
1aei_A,9,0.22
1af0_A,0,0.78
1af0_A,1,0.28
1af0_A,2,0.74
1af0_A,3,0.62
1af0_A,4,0.62
1af0_A,5,0.49
1af0_A,6,0.29
1af0_A,7,0.29
1af0_A,8,0.29
1af0_A,9,0.45
1af2_A,0,0.33
1af2_A,1,0.3
1af2_A,2,0.32
1af2_A,3,0.37
1af2_A,4,0.37
1af2_A,5,0.31
1af2_A,6,0.08
1af2_A,7,0.08
1af2_A,8,0.08
1af2_A,9,0.62
1af4_A,0,0.77
1af4_A,1,0.28
1af4_A,2,0.51
1af4_A,3,0.0
1af4_A,4,0.0
1af4_A,5,0.28
1af4_A,6,0.04
1af4_A,7,0.04
1af4_A,8,0.04
1af4_A,9,0.14
1afa_1,0,0.9
1afa_1,1,0.27
1afa_1,2,0.16
1afa_1,3,0.01
1afa_1,4,0.01
1afa_1,5,0.01
1afa_1,6,0.01
1afa_1,7,0.01
1afa_1,8,0.01
1afa_1,9,0.07
1ag0_A,0,0.02
1ag0_A,1,1.0
1ag0_A,2,1.0
1ag0_A,3,0.0
1ag0_A,4,0.0
1ag0_A,5,0.0
1ag0_A,6,0.0
1ag0_A,7,0.0
1ag0_A,8,0.0
1ag0_A,9,0.76
1ag1_T,0,0.31
1ag1_T,1,0.37
1ag1_T,2,0.15
1ag1_T,3,0.34
1ag1_T,4,0.34
1ag1_T,5,0.44
1ag1_T,6,0.48
1ag1_T,7,0.48
1ag1_T,8,0.48
1ag1_T,9,0.29
1ag6_A,0,0.42
1ag6_A,1,0.89
1ag6_A,2,1.0
1ag6_A,3,0.0
1ag6_A,4,0.0
1ag6_A,5,0.0
1ag6_A,6,0.0
1ag6_A,7,0.0
1ag6_A,8,0.0
1ag6_A,9,0.61
1ag9_A,0,0.54
1ag9_A,1,0.47
1ag9_A,2,0.24
1ag9_A,3,0.0
1ag9_A,4,0.0
1ag9_A,5,0.07
1ag9_A,6,0.12
1ag9_A,7,0.12
1ag9_A,8,0.12
1ag9_A,9,0.15
1agn_A,0,0.31
1agn_A,1,0.1
1agn_A,2,0.31
1agn_A,3,0.01
1agn_A,4,0.01
1agn_A,5,0.19
1agn_A,6,0.0
1agn_A,7,0.0
1agn_A,8,0.0
1agn_A,9,0.88
1agp_A,0,0.56
1agp_A,1,0.0
1agp_A,2,0.0
1agp_A,3,0.0
1agp_A,4,0.0
1agp_A,5,0.99
1agp_A,6,0.0
1agp_A,7,0.0
1agp_A,8,0.0
1agp_A,9,0.01
1agr_A,0,0.44
1agr_A,1,0.23
1agr_A,2,0.0
1agr_A,3,0.0
1agr_A,4,0.0
1agr_A,5,0.67
1agr_A,6,0.66
1agr_A,7,0.66
1agr_A,8,0.66
1agr_A,9,0.27
1ah7_A,0,0.8
1ah7_A,1,0.25
1ah7_A,2,0.35
1ah7_A,3,0.47
1ah7_A,4,0.47
1ah7_A,5,0.26
1ah7_A,6,0.03
1ah7_A,7,0.03
1ah7_A,8,0.03
1ah7_A,9,0.22
1ahj_A,0,0.29
1ahj_A,1,0.32
1ahj_A,2,0.28
1ahj_A,3,0.54
1ahj_A,4,0.54
1ahj_A,5,0.43
1ahj_A,6,0.32
1ahj_A,7,0.32
1ahj_A,8,0.32
1ahj_A,9,0.45
1ahr_A,0,1.0
1ahr_A,1,0.0
1ahr_A,2,0.0
1ahr_A,3,0.0
1ahr_A,4,0.0
1ahr_A,5,0.0
1ahr_A,6,0.0
1ahr_A,7,0.0
1ahr_A,8,0.0
1ahr_A,9,0.0
1ai4_B,0,0.7
1ai4_B,1,0.39
1ai4_B,2,0.57
1ai4_B,3,0.43
1ai4_B,4,0.43
1ai4_B,5,0.25
1ai4_B,6,0.25
1ai4_B,7,0.25
1ai4_B,8,0.25
1ai4_B,9,0.35
1aig_L,0,0.12
1aig_L,1,0.05
1aig_L,2,0.0
1aig_L,3,0.8
1aig_L,4,0.8
1aig_L,5,0.71
1aig_L,6,0.84
1aig_L,7,0.84
1aig_L,8,0.84
1aig_L,9,0.32
1aih_C,0,0.07
1aih_C,1,0.35
1aih_C,2,0.02
1aih_C,3,0.68
1aih_C,4,0.68
1aih_C,5,0.34
1aih_C,6,0.26
1aih_C,7,0.26
1aih_C,8,0.26
1aih_C,9,0.11
1ain_A,0,0.69
1ain_A,1,0.45
1ain_A,2,0.25
1ain_A,3,0.08
1ain_A,4,0.08
1ain_A,5,0.54
1ain_A,6,0.5
1ain_A,7,0.5
1ain_A,8,0.5
1ain_A,9,0.29
1aj9_A,0,0.0
1aj9_A,1,0.93
1aj9_A,2,0.0
1aj9_A,3,1.0
1aj9_A,4,1.0
1aj9_A,5,0.0
1aj9_A,6,0.0
1aj9_A,7,0.0
1aj9_A,8,0.0
1aj9_A,9,0.06
1ajb_A,0,0.32
1ajb_A,1,0.36
1ajb_A,2,0.24
1ajb_A,3,0.03
1ajb_A,4,0.03
1ajb_A,5,0.58
1ajb_A,6,0.01
1ajb_A,7,0.01
1ajb_A,8,0.01
1ajb_A,9,0.79
1ajc_A,0,0.32
1ajc_A,1,0.36
1ajc_A,2,0.24
1ajc_A,3,0.03
1ajc_A,4,0.03
1ajc_A,5,0.58
1ajc_A,6,0.01
1ajc_A,7,0.01
1ajc_A,8,0.01
1ajc_A,9,0.79
1ajj_A,0,0.9
1ajj_A,1,0.32
1ajj_A,2,0.12
1ajj_A,3,0.01
1ajj_A,4,0.01
1ajj_A,5,0.0
1ajj_A,6,0.04
1ajj_A,7,0.04
1ajj_A,8,0.04
1ajj_A,9,0.09
1ajk_A,0,0.66
1ajk_A,1,0.4
1ajk_A,2,0.43
1ajk_A,3,0.01
1ajk_A,4,0.01
1ajk_A,5,0.28
1ajk_A,6,0.12
1ajk_A,7,0.12
1ajk_A,8,0.12
1ajk_A,9,0.4
1ajk_B,0,0.65
1ajk_B,1,0.41
1ajk_B,2,0.43
1ajk_B,3,0.0
1ajk_B,4,0.0
1ajk_B,5,0.27
1ajk_B,6,0.12
1ajk_B,7,0.12
1ajk_B,8,0.12
1ajk_B,9,0.4
1ajo_A,0,0.66
1ajo_A,1,0.4
1ajo_A,2,0.43
1ajo_A,3,0.01
1ajo_A,4,0.01
1ajo_A,5,0.28
1ajo_A,6,0.12
1ajo_A,7,0.12
1ajo_A,8,0.12
1ajo_A,9,0.4
1ajo_B,0,0.66
1ajo_B,1,0.4
1ajo_B,2,0.42
1ajo_B,3,0.0
1ajo_B,4,0.0
1ajo_B,5,0.28
1ajo_B,6,0.12
1ajo_B,7,0.12
1ajo_B,8,0.12
1ajo_B,9,0.4
1ak0_A,0,0.1
1ak0_A,1,0.28
1ak0_A,2,0.09
1ak0_A,3,0.11
1ak0_A,4,0.11
1ak0_A,5,0.59
1ak0_A,6,0.16
1ak0_A,7,0.16
1ak0_A,8,0.16
1ak0_A,9,0.4
1ak9_A,0,0.81
1ak9_A,1,0.21
1ak9_A,2,0.93
1ak9_A,3,0.0
1ak9_A,4,0.0
1ak9_A,5,0.29
1ak9_A,6,0.09
1ak9_A,7,0.09
1ak9_A,8,0.09
1ak9_A,9,0.2
1aka_B,0,0.7
1aka_B,1,0.39
1aka_B,2,0.51
1aka_B,3,0.02
1aka_B,4,0.02
1aka_B,5,0.38
1aka_B,6,0.27
1aka_B,7,0.27
1aka_B,8,0.27
1aka_B,9,0.33
1akl_A,0,0.76
1akl_A,1,0.23
1akl_A,2,0.5
1akl_A,3,0.21
1akl_A,4,0.21
1akl_A,5,0.5
1akl_A,6,0.68
1akl_A,7,0.68
1akl_A,8,0.68
1akl_A,9,0.55
1al3_A,0,0.54
1al3_A,1,0.44
1al3_A,2,0.46
1al3_A,3,0.01
1al3_A,4,0.01
1al3_A,5,0.23
1al3_A,6,0.2
1al3_A,7,0.2
1al3_A,8,0.2
1al3_A,9,0.2
1ala_A,0,0.87
1ala_A,1,0.21
1ala_A,2,0.39
1ala_A,3,0.39
1ala_A,4,0.39
1ala_A,5,0.03
1ala_A,6,0.02
1ala_A,7,0.02
1ala_A,8,0.02
1ala_A,9,0.08
1alc_A,0,0.69
1alc_A,1,0.4
1alc_A,2,0.36
1alc_A,3,0.03
1alc_A,4,0.03
1alc_A,5,0.15
1alc_A,6,0.17
1alc_A,7,0.17
1alc_A,8,0.17
1alc_A,9,0.35
1alh_A,0,0.43
1alh_A,1,0.34
1alh_A,2,0.16
1alh_A,3,0.04
1alh_A,4,0.04
1alh_A,5,0.6
1alh_A,6,0.02
1alh_A,7,0.02
1alh_A,8,0.02
1alh_A,9,0.73
1ali_A,0,0.43
1ali_A,1,0.35
1ali_A,2,0.16
1ali_A,3,0.03
1ali_A,4,0.03
1ali_A,5,0.6
1ali_A,6,0.01
1ali_A,7,0.01
1ali_A,8,0.01
1ali_A,9,0.76
1alk_A,0,0.43
1alk_A,1,0.37
1alk_A,2,0.15
1alk_A,3,0.03
1alk_A,4,0.03
1alk_A,5,0.6
1alk_A,6,0.01
1alk_A,7,0.01
1alk_A,8,0.01
1alk_A,9,0.79
1alv_A,0,0.77
1alv_A,1,0.31
1alv_A,2,0.22
1alv_A,3,0.02
1alv_A,4,0.02
1alv_A,5,0.11
1alv_A,6,0.01
1alv_A,7,0.01
1alv_A,8,0.01
1alv_A,9,0.05
1am4_D,0,0.02
1am4_D,1,0.0
1am4_D,2,0.0
1am4_D,3,0.0
1am4_D,4,0.0
1am4_D,5,0.82
1am4_D,6,0.0
1am4_D,7,0.0
1am4_D,8,0.0
1am4_D,9,0.04
1amh_A,0,0.75
1amh_A,1,0.31
1amh_A,2,0.64
1amh_A,3,0.03
1amh_A,4,0.03
1amh_A,5,0.58
1amh_A,6,0.38
1amh_A,7,0.38
1amh_A,8,0.38
1amh_A,9,0.43
1amj_A,0,0.57
1amj_A,1,0.46
1amj_A,2,0.21
1amj_A,3,0.73
1amj_A,4,0.73
1amj_A,5,0.49
1amj_A,6,0.6
1amj_A,7,0.6
1amj_A,8,0.6
1amj_A,9,0.41
1amp_A,0,0.07
1amp_A,1,0.3
1amp_A,2,0.36
1amp_A,3,0.01
1amp_A,4,0.01
1amp_A,5,0.04
1amp_A,6,0.03
1amp_A,7,0.03
1amp_A,8,0.03
1amp_A,9,0.59
1amu_A,0,0.26
1amu_A,1,0.3
1amu_A,2,0.16
1amu_A,3,0.34
1amu_A,4,0.34
1amu_A,5,0.42
1amu_A,6,0.37
1amu_A,7,0.37
1amu_A,8,0.37
1amu_A,9,0.3
1amu_B,0,0.26
1amu_B,1,0.3
1amu_B,2,0.15
1amu_B,3,0.34
1amu_B,4,0.34
1amu_B,5,0.41
1amu_B,6,0.37
1amu_B,7,0.37
1amu_B,8,0.37
1amu_B,9,0.31
1amy_A,0,0.7
1amy_A,1,0.39
1amy_A,2,0.42
1amy_A,3,0.21
1amy_A,4,0.21
1amy_A,5,0.38
1amy_A,6,0.3
1amy_A,7,0.3
1amy_A,8,0.3
1amy_A,9,0.35
1an0_B,0,0.01
1an0_B,1,0.0
1an0_B,2,0.0
1an0_B,3,0.0
1an0_B,4,0.0
1an0_B,5,0.84
1an0_B,6,0.0
1an0_B,7,0.0
1an0_B,8,0.0
1an0_B,9,0.03
1an1_E,0,0.76
1an1_E,1,0.31
1an1_E,2,0.75
1an1_E,3,0.03
1an1_E,4,0.03
1an1_E,5,0.59
1an1_E,6,0.37
1an1_E,7,0.37
1an1_E,8,0.37
1an1_E,9,0.41
1anb_A,0,0.75
1anb_A,1,0.33
1anb_A,2,0.69
1anb_A,3,0.03
1anb_A,4,0.03
1anb_A,5,0.58
1anb_A,6,0.4
1anb_A,7,0.4
1anb_A,8,0.4
1anb_A,9,0.36
1anc_A,0,0.75
1anc_A,1,0.33
1anc_A,2,0.69
1anc_A,3,0.03
1anc_A,4,0.03
1anc_A,5,0.58
1anc_A,6,0.4
1anc_A,7,0.4
1anc_A,8,0.4
1anc_A,9,0.36
1and_A,0,0.75
1and_A,1,0.32
1and_A,2,0.68
1and_A,3,0.03
1and_A,4,0.03
1and_A,5,0.58
1and_A,6,0.39
1and_A,7,0.39
1and_A,8,0.39
