pdbid,ion,lig_labs,target
6a2b_A,CA,0,0
6a2b_A,CO,1,0
6a2b_A,CU,2,0
6a2b_A,FE,3,0
6a2b_A,FE2,4,0
6a2b_A,MG,5,0
6a2b_A,MN,6,0
6a2b_A,PO4,7,0
6a2b_A,SO4,8,0
6a2b_A,ZN,9,0
6a2b_B,CA,0,0
6a2b_B,CO,1,0
6a2b_B,CU,2,0
6a2b_B,FE,3,0
6a2b_B,FE2,4,0
6a2b_B,MG,5,0
6a2b_B,MN,6,0
6a2b_B,PO4,7,0
6a2b_B,SO4,8,0
6a2b_B,ZN,9,0
6a2f_A,CA,0,0
6a2f_A,CO,1,0
6a2f_A,CU,2,0
6a2f_A,FE,3,0
6a2f_A,FE2,4,0
6a2f_A,MG,5,0
6a2f_A,MN,6,0
6a2f_A,PO4,7,0
6a2f_A,SO4,8,0
6a2f_A,ZN,9,0
6a2h_A,CA,0,0
6a2h_A,CO,1,0
6a2h_A,CU,2,0
6a2h_A,FE,3,0
6a2h_A,FE2,4,0
6a2h_A,MG,5,0
6a2h_A,MN,6,0
6a2h_A,PO4,7,0
6a2h_A,SO4,8,0
6a2h_A,ZN,9,0
6a2k_A,CA,0,0
6a2k_A,CO,1,0
6a2k_A,CU,2,0
6a2k_A,FE,3,0
6a2k_A,FE2,4,0
6a2k_A,MG,5,0
6a2k_A,MN,6,0
6a2k_A,PO4,7,0
6a2k_A,SO4,8,0
6a2k_A,ZN,9,0
6a2l_A,CA,0,0
6a2l_A,CO,1,0
6a2l_A,CU,2,0
6a2l_A,FE,3,0
6a2l_A,FE2,4,0
6a2l_A,MG,5,0
6a2l_A,MN,6,0
6a2l_A,PO4,7,0
6a2l_A,SO4,8,0
6a2l_A,ZN,9,0
6a2q_A,CA,0,0
6a2q_A,CO,1,0
6a2q_A,CU,2,0
6a2q_A,FE,3,0
6a2q_A,FE2,4,0
6a2q_A,MG,5,0
6a2q_A,MN,6,0
6a2q_A,PO4,7,0
6a2q_A,SO4,8,0
6a2q_A,ZN,9,0
6a2s_A,CA,0,0
6a2s_A,CO,1,0
6a2s_A,CU,2,0
6a2s_A,FE,3,0
6a2s_A,FE2,4,0
6a2s_A,MG,5,0
6a2s_A,MN,6,0
6a2s_A,PO4,7,0
6a2s_A,SO4,8,0
6a2s_A,ZN,9,0
6a2t_A,CA,0,0
6a2t_A,CO,1,0
6a2t_A,CU,2,0
6a2t_A,FE,3,0
6a2t_A,FE2,4,0
6a2t_A,MG,5,0
6a2t_A,MN,6,0
6a2t_A,PO4,7,0
6a2t_A,SO4,8,0
6a2t_A,ZN,9,0
6a2u_A,CA,0,0
6a2u_A,CO,1,0
6a2u_A,CU,2,0
6a2u_A,FE,3,0
6a2u_A,FE2,4,0
6a2u_A,MG,5,0
6a2u_A,MN,6,0
6a2u_A,PO4,7,0
6a2u_A,SO4,8,0
6a2u_A,ZN,9,0
6a2u_B,CA,0,0
6a2u_B,CO,1,0
6a2u_B,CU,2,0
6a2u_B,FE,3,0
6a2u_B,FE2,4,0
6a2u_B,MG,5,0
6a2u_B,MN,6,0
6a2u_B,PO4,7,0
6a2u_B,SO4,8,0
6a2u_B,ZN,9,0
6a2v_A,CA,0,0
6a2v_A,CO,1,0
6a2v_A,CU,2,0
6a2v_A,FE,3,0
6a2v_A,FE2,4,0
6a2v_A,MG,5,0
6a2v_A,MN,6,0
6a2v_A,PO4,7,0
6a2v_A,SO4,8,0
6a2v_A,ZN,9,0
6a30_A,CA,0,0
6a30_A,CO,1,0
6a30_A,CU,2,0
6a30_A,FE,3,0
6a30_A,FE2,4,0
6a30_A,MG,5,0
6a30_A,MN,6,0
6a30_A,PO4,7,0
6a30_A,SO4,8,0
6a30_A,ZN,9,0
6a32_A,CA,0,0
6a32_A,CO,1,0
6a32_A,CU,2,0
6a32_A,FE,3,0
6a32_A,FE2,4,0
6a32_A,MG,5,0
6a32_A,MN,6,0
6a32_A,PO4,7,0
6a32_A,SO4,8,0
6a32_A,ZN,9,0
6a33_A,CA,0,0
6a33_A,CO,1,0
6a33_A,CU,2,0
6a33_A,FE,3,0
6a33_A,FE2,4,0
6a33_A,MG,5,0
6a33_A,MN,6,0
6a33_A,PO4,7,0
6a33_A,SO4,8,0
6a33_A,ZN,9,0
6a33_B,CA,0,0
6a33_B,CO,1,0
6a33_B,CU,2,0
6a33_B,FE,3,0
6a33_B,FE2,4,0
6a33_B,MG,5,0
6a33_B,MN,6,0
6a33_B,PO4,7,0
6a33_B,SO4,8,0
6a33_B,ZN,9,0
6a34_A,CA,0,0
6a34_A,CO,1,0
6a34_A,CU,2,0
6a34_A,FE,3,0
6a34_A,FE2,4,0
6a34_A,MG,5,0
6a34_A,MN,6,0
6a34_A,PO4,7,0
6a34_A,SO4,8,0
6a34_A,ZN,9,0
6a37_A,CA,0,0
6a37_A,CO,1,0
6a37_A,CU,2,0
6a37_A,FE,3,0
6a37_A,FE2,4,0
6a37_A,MG,5,0
6a37_A,MN,6,0
6a37_A,PO4,7,0
6a37_A,SO4,8,0
6a37_A,ZN,9,0
6a3g_A,CA,0,0
6a3g_A,CO,1,0
6a3g_A,CU,2,0
6a3g_A,FE,3,0
6a3g_A,FE2,4,0
6a3g_A,MG,5,0
6a3g_A,MN,6,0
6a3g_A,PO4,7,0
6a3g_A,SO4,8,0
6a3g_A,ZN,9,0
6a3h_A,CA,0,0
6a3h_A,CO,1,0
6a3h_A,CU,2,0
6a3h_A,FE,3,0
6a3h_A,FE2,4,0
6a3h_A,MG,5,0
6a3h_A,MN,6,0
6a3h_A,PO4,7,0
6a3h_A,SO4,8,0
6a3h_A,ZN,9,0
6a3k_A,CA,0,0
6a3k_A,CO,1,0
6a3k_A,CU,2,0
6a3k_A,FE,3,0
6a3k_A,FE2,4,0
6a3k_A,MG,5,0
6a3k_A,MN,6,0
6a3k_A,PO4,7,0
6a3k_A,SO4,8,0
6a3k_A,ZN,9,0
6a3l_A,CA,0,0
6a3l_A,CO,1,0
6a3l_A,CU,2,0
6a3l_A,FE,3,0
6a3l_A,FE2,4,0
6a3l_A,MG,5,0
6a3l_A,MN,6,0
6a3l_A,PO4,7,0
6a3l_A,SO4,8,0
6a3l_A,ZN,9,0
6a3t_A,CA,0,0
6a3t_A,CO,1,0
6a3t_A,CU,2,0
6a3t_A,FE,3,0
6a3t_A,FE2,4,0
6a3t_A,MG,5,0
6a3t_A,MN,6,0
6a3t_A,PO4,7,0
6a3t_A,SO4,8,0
6a3t_A,ZN,9,0
6a3v_A,CA,0,0
6a3v_A,CO,1,0
6a3v_A,CU,2,0
6a3v_A,FE,3,0
6a3v_A,FE2,4,0
6a3v_A,MG,5,0
6a3v_A,MN,6,0
6a3v_A,PO4,7,0
6a3v_A,SO4,8,0
6a3v_A,ZN,9,0
6a3v_B,CA,0,0
6a3v_B,CO,1,0
6a3v_B,CU,2,0
6a3v_B,FE,3,0
6a3v_B,FE2,4,0
6a3v_B,MG,5,0
6a3v_B,MN,6,0
6a3v_B,PO4,7,0
6a3v_B,SO4,8,0
6a3v_B,ZN,9,0
6a3w_A,CA,0,0
6a3w_A,CO,1,0
6a3w_A,CU,2,0
6a3w_A,FE,3,0
6a3w_A,FE2,4,0
6a3w_A,MG,5,0
6a3w_A,MN,6,0
6a3w_A,PO4,7,0
6a3w_A,SO4,8,0
6a3w_A,ZN,9,0
6a3w_B,CA,0,0
6a3w_B,CO,1,0
6a3w_B,CU,2,0
6a3w_B,FE,3,0
6a3w_B,FE2,4,0
6a3w_B,MG,5,0
6a3w_B,MN,6,0
6a3w_B,PO4,7,0
6a3w_B,SO4,8,0
6a3w_B,ZN,9,0
6a40_A,CA,0,0
6a40_A,CO,1,0
6a40_A,CU,2,0
6a40_A,FE,3,0
6a40_A,FE2,4,0
6a40_A,MG,5,0
6a40_A,MN,6,0
6a40_A,PO4,7,0
6a40_A,SO4,8,0
6a40_A,ZN,9,0
6a41_A,CA,0,0
6a41_A,CO,1,0
6a41_A,CU,2,0
6a41_A,FE,3,0
6a41_A,FE2,4,0
6a41_A,MG,5,0
6a41_A,MN,6,0
6a41_A,PO4,7,0
6a41_A,SO4,8,0
6a41_A,ZN,9,0
6a42_A,CA,0,0
6a42_A,CO,1,0
6a42_A,CU,2,0
6a42_A,FE,3,0
6a42_A,FE2,4,0
6a42_A,MG,5,0
6a42_A,MN,6,0
6a42_A,PO4,7,0
6a42_A,SO4,8,0
6a42_A,ZN,9,0
6a43_A,CA,0,0
6a43_A,CO,1,0
6a43_A,CU,2,0
6a43_A,FE,3,0
6a43_A,FE2,4,0
6a43_A,MG,5,0
6a43_A,MN,6,0
6a43_A,PO4,7,0
6a43_A,SO4,8,0
6a43_A,ZN,9,0
6a44_A,CA,0,0
6a44_A,CO,1,0
6a44_A,CU,2,0
6a44_A,FE,3,0
6a44_A,FE2,4,0
6a44_A,MG,5,0
6a44_A,MN,6,0
6a44_A,PO4,7,0
6a44_A,SO4,8,0
6a44_A,ZN,9,0
6a4c_A,CA,0,0
6a4c_A,CO,1,0
6a4c_A,CU,2,0
6a4c_A,FE,3,0
6a4c_A,FE2,4,0
6a4c_A,MG,5,0
6a4c_A,MN,6,0
6a4c_A,PO4,7,0
6a4c_A,SO4,8,0
6a4c_A,ZN,9,0
6a4d_A,CA,0,0
6a4d_A,CO,1,0
6a4d_A,CU,2,0
6a4d_A,FE,3,0
6a4d_A,FE2,4,0
6a4d_A,MG,5,0
6a4d_A,MN,6,0
6a4d_A,PO4,7,0
6a4d_A,SO4,8,0
6a4d_A,ZN,9,0
6a4i_A,CA,0,0
6a4i_A,CO,1,0
6a4i_A,CU,2,0
6a4i_A,FE,3,0
6a4i_A,FE2,4,0
6a4i_A,MG,5,0
6a4i_A,MN,6,0
6a4i_A,PO4,7,0
6a4i_A,SO4,8,0
6a4i_A,ZN,9,0
6a4j_A,CA,0,0
6a4j_A,CO,1,0
6a4j_A,CU,2,0
6a4j_A,FE,3,0
6a4j_A,FE2,4,0
6a4j_A,MG,5,0
6a4j_A,MN,6,0
6a4j_A,PO4,7,0
6a4j_A,SO4,8,0
6a4j_A,ZN,9,0
6a4m_A,CA,0,0
6a4m_A,CO,1,0
6a4m_A,CU,2,0
6a4m_A,FE,3,0
6a4m_A,FE2,4,0
6a4m_A,MG,5,0
6a4m_A,MN,6,0
6a4m_A,PO4,7,0
6a4m_A,SO4,8,0
6a4m_A,ZN,9,0
6a4o_A,CA,0,0
6a4o_A,CO,1,0
6a4o_A,CU,2,0
6a4o_A,FE,3,0
6a4o_A,FE2,4,0
6a4o_A,MG,5,0
6a4o_A,MN,6,0
6a4o_A,PO4,7,0
6a4o_A,SO4,8,0
6a4o_A,ZN,9,0
6a4r_A,CA,0,0
6a4r_A,CO,1,0
6a4r_A,CU,2,0
6a4r_A,FE,3,0
6a4r_A,FE2,4,0
6a4r_A,MG,5,0
6a4r_A,MN,6,0
6a4r_A,PO4,7,0
6a4r_A,SO4,8,0
6a4r_A,ZN,9,0
6a4t_A,CA,0,0
6a4t_A,CO,1,0
6a4t_A,CU,2,0
6a4t_A,FE,3,0
6a4t_A,FE2,4,0
6a4t_A,MG,5,0
6a4t_A,MN,6,0
6a4t_A,PO4,7,0
6a4t_A,SO4,8,0
6a4t_A,ZN,9,0
6a4v_A,CA,0,0
6a4v_A,CO,1,0
6a4v_A,CU,2,0
6a4v_A,FE,3,0
6a4v_A,FE2,4,0
6a4v_A,MG,5,0
6a4v_A,MN,6,0
6a4v_A,PO4,7,0
6a4v_A,SO4,8,0
6a4v_A,ZN,9,0
6a4x_A,CA,0,0
6a4x_A,CO,1,0
6a4x_A,CU,2,0
6a4x_A,FE,3,0
6a4x_A,FE2,4,0
6a4x_A,MG,5,0
6a4x_A,MN,6,0
6a4x_A,PO4,7,0
6a4x_A,SO4,8,0
6a4x_A,ZN,9,0
6a4z_A,CA,0,0
6a4z_A,CO,1,0
6a4z_A,CU,2,0
6a4z_A,FE,3,0
6a4z_A,FE2,4,0
6a4z_A,MG,5,0
6a4z_A,MN,6,0
6a4z_A,PO4,7,0
6a4z_A,SO4,8,0
6a4z_A,ZN,9,0
6a51_A,CA,0,0
6a51_A,CO,1,0
6a51_A,CU,2,0
6a51_A,FE,3,0
6a51_A,FE2,4,0
6a51_A,MG,5,0
6a51_A,MN,6,0
6a51_A,PO4,7,0
6a51_A,SO4,8,0
6a51_A,ZN,9,0
6a52_A,CA,0,0
6a52_A,CO,1,0
6a52_A,CU,2,0
6a52_A,FE,3,0
6a52_A,FE2,4,0
6a52_A,MG,5,0
6a52_A,MN,6,0
6a52_A,PO4,7,0
6a52_A,SO4,8,0
6a52_A,ZN,9,0
6a5a_A,CA,0,0
6a5a_A,CO,1,0
6a5a_A,CU,2,0
6a5a_A,FE,3,0
6a5a_A,FE2,4,0
6a5a_A,MG,5,0
6a5a_A,MN,6,0
6a5a_A,PO4,7,0
6a5a_A,SO4,8,0
6a5a_A,ZN,9,0
6a5b_A,CA,0,0
6a5b_A,CO,1,0
6a5b_A,CU,2,0
6a5b_A,FE,3,0
6a5b_A,FE2,4,0
6a5b_A,MG,5,0
6a5b_A,MN,6,0
6a5b_A,PO4,7,0
6a5b_A,SO4,8,0
6a5b_A,ZN,9,0
6a5c_A,CA,0,0
6a5c_A,CO,1,0
6a5c_A,CU,2,0
6a5c_A,FE,3,0
6a5c_A,FE2,4,0
6a5c_A,MG,5,0
6a5c_A,MN,6,0
6a5c_A,PO4,7,0
6a5c_A,SO4,8,0
6a5c_A,ZN,9,0
6a5d_A,CA,0,0
6a5d_A,CO,1,0
6a5d_A,CU,2,0
6a5d_A,FE,3,0
6a5d_A,FE2,4,0
6a5d_A,MG,5,0
6a5d_A,MN,6,0
6a5d_A,PO4,7,0
6a5d_A,SO4,8,0
6a5d_A,ZN,9,0
6a5e_B,CA,0,0
6a5e_B,CO,1,0
6a5e_B,CU,2,0
6a5e_B,FE,3,0
6a5e_B,FE2,4,0
6a5e_B,MG,5,0
6a5e_B,MN,6,0
6a5e_B,PO4,7,0
6a5e_B,SO4,8,0
6a5e_B,ZN,9,0
6a5e_C,CA,0,0
6a5e_C,CO,1,0
6a5e_C,CU,2,0
6a5e_C,FE,3,0
6a5e_C,FE2,4,0
6a5e_C,MG,5,0
6a5e_C,MN,6,0
6a5e_C,PO4,7,0
6a5e_C,SO4,8,0
6a5e_C,ZN,9,0
6a5f_A,CA,0,0
6a5f_A,CO,1,0
6a5f_A,CU,2,0
6a5f_A,FE,3,0
6a5f_A,FE2,4,0
6a5f_A,MG,5,0
6a5f_A,MN,6,0
6a5f_A,PO4,7,0
6a5f_A,SO4,8,0
6a5f_A,ZN,9,0
6a5g_A,CA,0,0
6a5g_A,CO,1,0
6a5g_A,CU,2,0
6a5g_A,FE,3,0
6a5g_A,FE2,4,0
6a5g_A,MG,5,0
6a5g_A,MN,6,0
6a5g_A,PO4,7,0
6a5g_A,SO4,8,0
6a5g_A,ZN,9,0
6a5h_A,CA,0,0
6a5h_A,CO,1,0
6a5h_A,CU,2,0
6a5h_A,FE,3,0
6a5h_A,FE2,4,0
6a5h_A,MG,5,0
6a5h_A,MN,6,0
6a5h_A,PO4,7,0
6a5h_A,SO4,8,0
6a5h_A,ZN,9,0
6a5i_A,CA,0,0
6a5i_A,CO,1,0
6a5i_A,CU,2,0
6a5i_A,FE,3,0
6a5i_A,FE2,4,0
6a5i_A,MG,5,0
6a5i_A,MN,6,0
6a5i_A,PO4,7,0
6a5i_A,SO4,8,0
6a5i_A,ZN,9,0
6a5j_A,CA,0,0
6a5j_A,CO,1,0
6a5j_A,CU,2,0
6a5j_A,FE,3,0
6a5j_A,FE2,4,0
6a5j_A,MG,5,0
6a5j_A,MN,6,0
6a5j_A,PO4,7,0
6a5j_A,SO4,8,0
6a5j_A,ZN,9,0
6a5q_A,CA,0,0
6a5q_A,CO,1,0
6a5q_A,CU,2,0
6a5q_A,FE,3,0
6a5q_A,FE2,4,0
6a5q_A,MG,5,0
6a5q_A,MN,6,0
6a5q_A,PO4,7,0
6a5q_A,SO4,8,0
6a5q_A,ZN,9,0
6a5q_C,CA,0,0
6a5q_C,CO,1,0
6a5q_C,CU,2,0
6a5q_C,FE,3,0
6a5q_C,FE2,4,0
6a5q_C,MG,5,0
6a5q_C,MN,6,0
6a5q_C,PO4,7,0
6a5q_C,SO4,8,0
6a5q_C,ZN,9,0
6a5w_B,CA,0,0
6a5w_B,CO,1,0
6a5w_B,CU,2,0
6a5w_B,FE,3,0
6a5w_B,FE2,4,0
6a5w_B,MG,5,0
6a5w_B,MN,6,0
6a5w_B,PO4,7,0
6a5w_B,SO4,8,0
6a5w_B,ZN,9,0
6a5z_A,CA,0,0
6a5z_A,CO,1,0
6a5z_A,CU,2,0
6a5z_A,FE,3,0
6a5z_A,FE2,4,0
6a5z_A,MG,5,0
6a5z_A,MN,6,0
6a5z_A,PO4,7,0
6a5z_A,SO4,8,0
6a5z_A,ZN,9,0
6a5z_B,CA,0,0
6a5z_B,CO,1,0
6a5z_B,CU,2,0
6a5z_B,FE,3,0
6a5z_B,FE2,4,0
6a5z_B,MG,5,0
6a5z_B,MN,6,0
6a5z_B,PO4,7,0
6a5z_B,SO4,8,0
6a5z_B,ZN,9,0
6a62_A,CA,0,0
6a62_A,CO,1,0
6a62_A,CU,2,0
6a62_A,FE,3,0
6a62_A,FE2,4,0
6a62_A,MG,5,0
6a62_A,MN,6,0
6a62_A,PO4,7,0
6a62_A,SO4,8,0
6a62_A,ZN,9,0
6a63_A,CA,0,0
6a63_A,CO,1,0
6a63_A,CU,2,0
6a63_A,FE,3,0
6a63_A,FE2,4,0
6a63_A,MG,5,0
6a63_A,MN,6,0
6a63_A,PO4,7,0
6a63_A,SO4,8,0
6a63_A,ZN,9,0
6a64_A,CA,0,0
6a64_A,CO,1,0
6a64_A,CU,2,0
6a64_A,FE,3,0
6a64_A,FE2,4,0
6a64_A,MG,5,0
6a64_A,MN,6,0
6a64_A,PO4,7,0
6a64_A,SO4,8,0
6a64_A,ZN,9,0
6a65_A,CA,0,0
6a65_A,CO,1,0
6a65_A,CU,2,0
6a65_A,FE,3,0
6a65_A,FE2,4,0
6a65_A,MG,5,0
6a65_A,MN,6,0
6a65_A,PO4,7,0
6a65_A,SO4,8,0
6a65_A,ZN,9,0
6a66_A,CA,0,0
6a66_A,CO,1,0
6a66_A,CU,2,0
6a66_A,FE,3,0
6a66_A,FE2,4,0
6a66_A,MG,5,0
6a66_A,MN,6,0
6a66_A,PO4,7,0
6a66_A,SO4,8,0
6a66_A,ZN,9,0
6a67_A,CA,0,0
6a67_A,CO,1,0
6a67_A,CU,2,0
6a67_A,FE,3,0
6a67_A,FE2,4,0
6a67_A,MG,5,0
6a67_A,MN,6,0
6a67_A,PO4,7,0
6a67_A,SO4,8,0
6a67_A,ZN,9,0
6a67_B,CA,0,0
6a67_B,CO,1,0
6a67_B,CU,2,0
6a67_B,FE,3,0
6a67_B,FE2,4,0
6a67_B,MG,5,0
6a67_B,MN,6,0
6a67_B,PO4,7,0
6a67_B,SO4,8,0
6a67_B,ZN,9,0
6a67_C,CA,0,0
6a67_C,CO,1,0
6a67_C,CU,2,0
6a67_C,FE,3,0
6a67_C,FE2,4,0
6a67_C,MG,5,0
6a67_C,MN,6,0
6a67_C,PO4,7,0
6a67_C,SO4,8,0
6a67_C,ZN,9,0
6a69_A,CA,0,0
6a69_A,CO,1,0
6a69_A,CU,2,0
6a69_A,FE,3,0
6a69_A,FE2,4,0
6a69_A,MG,5,0
6a69_A,MN,6,0
6a69_A,PO4,7,0
6a69_A,SO4,8,0
6a69_A,ZN,9,0
6a69_B,CA,0,0
6a69_B,CO,1,0
6a69_B,CU,2,0
6a69_B,FE,3,0
6a69_B,FE2,4,0
6a69_B,MG,5,0
6a69_B,MN,6,0
6a69_B,PO4,7,0
6a69_B,SO4,8,0
6a69_B,ZN,9,0
6a6c_A,CA,0,0
6a6c_A,CO,1,0
6a6c_A,CU,2,0
6a6c_A,FE,3,0
6a6c_A,FE2,4,0
6a6c_A,MG,5,0
6a6c_A,MN,6,0
6a6c_A,PO4,7,0
6a6c_A,SO4,8,0
6a6c_A,ZN,9,0
6a6e_A,CA,0,0
6a6e_A,CO,1,0
6a6e_A,CU,2,0
6a6e_A,FE,3,0
6a6e_A,FE2,4,0
6a6e_A,MG,5,0
6a6e_A,MN,6,0
6a6e_A,PO4,7,0
6a6e_A,SO4,8,0
6a6e_A,ZN,9,0
6a6h_A,CA,0,0
6a6h_A,CO,1,0
6a6h_A,CU,2,0
6a6h_A,FE,3,0
6a6h_A,FE2,4,0
6a6h_A,MG,5,0
6a6h_A,MN,6,0
6a6h_A,PO4,7,0
6a6h_A,SO4,8,0
6a6h_A,ZN,9,0
6a6h_B,CA,0,0
6a6h_B,CO,1,0
6a6h_B,CU,2,0
6a6h_B,FE,3,0
6a6h_B,FE2,4,0
6a6h_B,MG,5,0
6a6h_B,MN,6,0
6a6h_B,PO4,7,0
6a6h_B,SO4,8,0
6a6h_B,ZN,9,0
6a6i_A,CA,0,0
6a6i_A,CO,1,0
